FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2022
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION: ;;18/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10036;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;EXPOPUNTO;;;;;;;;;ESTILO PROPIO 1:;;;;;;05714-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;PRODUCCION PROGRAMA 10-12-13;
ESTILO CLIENTE: ;;ASTON;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.0%;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;1.5%;;;;
DIVISION:;;CABALLEROS;;;;;;;;;TALLAS:;;;;;;S-M-L-XL-XXL-XXXL;;;;;;;;LARG.DE MANGA;;;;0%;;;;
TIPO MUESTRA: ;;PRODUCCION PROGRAMA 003;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;JHONATHAN;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);S;;M;;L;;XL;;XXL;;XXXL;;;;;;;;;;;;;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  1/2;;28  1/4 ;;29      ;;29  3/4 ;;30  1/2 ;;31      ;;;;;;;;;;;;;;;;
B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29  1/4 ;;30      ;;30  3/4 ;;31  1/2 ;;32  1/4 ;;32  3/4 ;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17 5/8;;18 3/8;;19 1/8;;19 7/8;;20 5/8;;21  3 /8;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;19 1/8;;20;;20 3/4;;21 1/2;;22 1/4;;23;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;7 1/2;;8;;8 1/2;;9;;9 1/2;;10 1/8;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;9 1/8;;9  5/8;;10      ;;10 1/2;;11      ;;11 5/8;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN SISA;;P;CRITICA;  3/8 ;  3/8 ;21 5/8;;22 5/8;;23 7/8;;25 3/8;;27      ;;28 3/4;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;20  1/2;;21  1/2;;22  3/4;;24  1/4;;25  7/8;;27  5/8;;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6  5/8;;6  7/8;;7   1/16;;7 3/8;;7 1/2;;7 7/8;;;;;;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;3 3/4;;4;;4 1/4;;4 1/2;;4 3/4;;5;;;;;;;;;;;;;;;;
L;UBICACIÓN DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6 3/8;;6 3/8;;6 3/8;;6 3/8;;6 3/8;;6 3/8;;;;;;;;;;;;;;;;
LL;ANCHO DE MEDIO PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;15  5/8 ;;16  3/8 ;;17  1/8 ;;17  7/8 ;;18  5/8;;19  3/8;;;;;;;;;;;;;;;;
M;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8 1/8;;8 3/8;;8 5/8;;8 7/8;;9;;9 1/4;;;;;;;;;;;;;;;;
