D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;;;7  1/4 ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;;;15      ;;15  1/2 ;;16      ;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;;;11  3/4 ;;12  3/8 ;;13      ;;;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;23 13/16;;25 13/16;;27 13/16;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA;;P;CRITICA;;;;;28  7/16;;30  7/16;;32  7/16;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;31 15/16;;32  9/16;;33  3/16;;;;;;;;;;;;;;;;;;;
J;LARGO DE VENZ ESPALDA;;P;CRITICA;;;;;6  1/4 ;;6  1/4 ;;6  1/4 ;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;;;2  7/8 ;;3      ;;3  1/4 ;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;;;14      ;;14  1/2 ;;15      ;;;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;;;;;15  1/4 ;;15  3/4 ;;16  1/4 ;;;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;;;10  5/16;;11  1/16;;11 13/16;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE ABERTURA DE PECHERA;;P;CRITICA;;;;;3  1/16;;3  1/16;;3  1/16;;;;;;;;;;;;;;;;;;;
R;LARGO DE ABERTURA DE PECHERA;;P;CRITICA;;;;;5  3/16;;5  3/16;;5  3/16;;;;;;;;;;;;;;;;;;;
S;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;25  9/16;;27  9/16;;29  9/16;;;;;;;;;;;;;;;;;;;
T;ANCHO DE FALDON DELANTERO;;P;CRITICA;;;;;27  1/8 ;;29  1/8 ;;31  1/8 ;;;;;;;;;;;;;;;;;;;
U;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;;;29  5/16;;29 15/16;;30  9/16;;;;;;;;;;;;;;;;;;;
V;LARGO DE VENZ DELANTERO;;P;CRITICA;;;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;
W;LARGO SUPERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;;;18  5/8 ;;19  3/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;
X;LARGO INFERIOR DE CUELLO EXTERIOR;;C;CRITICA;;;;;16  1/2 ;;17  1/4 ;;18      ;;;;;;;;;;;;;;;;;;;
Y;ALTO  DE CUELLO EXTERIOR;;C;CRITICA;;;;;2 15/16;;2 15/16;;2 15/16;;;;;;;;;;;;;;;;;;;
Z;LARGO SUPERIOR DE CUELLO INTERIOR;;C;CRITICA;;;;;18  7/8 ;;19  5/8 ;;20  3/8 ;;;;;;;;;;;;;;;;;;;
A1;LARGO INFERIOR DE CUELLO INTERIOR;;C;CRITICA;;;;;16  3/4 ;;17  1/2 ;;18  1/4 ;;;;;;;;;;;;;;;;;;;
B1;ALTO  DE CUELLO INTERIOR;;C;CRITICA;;;;;2 15/16;;2 15/16;;2 15/16;;;;;;;;;;;;;;;;;;;
C1;LARGO DE BANDA EXTERIOR  E  INTERIOR;;C;CRITICA;;;;;19  3/4 ;;20  1/2 ;;21  1/4 ;;;;;;;;;;;;;;;;;;;
D1;ALTO DE BANDA EXTERIOR  E  INTERIOR;;C;CRITICA;;;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;
E1;LARGO DE PECHERA SUPERIOR  E INFERIOR (LADO MAS LARGO);;C;CRITICA;;;;;8  7/16;;8  7/16;;8  7/16;;;;;;;;;;;;;;;;;;;
F1;ANCHO DE PECHERA SUPERIOR  E INFERIOR;;C;CRITICA;;;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;
G1;LARGO DE COLLARETA DE SISA;;C;CRITICA;;;;;30  1/2 ;;32  1/4 ;;34      ;;;;;;;;;;;;;;;;;;;
H1;ALTO DE COLLARETA DE SISA;;C;CRITICA;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
