FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:15/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;AMAZON;;;;;;;;;ESTILO PROPIO 1: ;;;;;;7927;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE: ;;IONA;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.0%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;;;;;;;;;;TALLAS:  ;;;;;;2X-3X;;;;;;;;LARG.DE MANGA;;;;1.5%;;;
TIPO MUESTRA: ;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2X;;3X;;;;;;;;;;;;;;;;;;;;;;;
;DELANTERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE;;P;CRITICA;;;8  7/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE;;P;CRITICA;;;5  3/8 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO;;P;CRITICA;  3/16;  3/8 ;28      ;;29      ;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA;;P;CRITICA;  3/16;  3/8 ;8  3/4 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO PUNTA SISA ;;P;CRITICA;  3/16;  3/8 ;30  1/8 ;;32  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO;;P;CRITICA;;;35  7/8 ;;36  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ;;P;CRITICA;  1/4 ;;30  1/4 ;;32  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
;ESPALDA IZQUIERDA/ DERECHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE;;P;CRITICA;; ;5      ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO;;P;CRITICA;;;14  5/16;;14  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
J;SISA RECTA ;;P;CRITICA;  3/16;  3/8 ;8  3/4 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;ANCHO DE PECHO PUNTA SISA ;;;;  3/16;  3/8 ;15  3/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO;;P;CRITICA;;;35  7/8 ;;36  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
LL;ANCHO DE FALDON ;;P;CRITICA;;;15  3/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
;MANGA DERECHA / IZQUIERDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO MANGA EN PUNTA;;P;CRITICA;  3/16;  3/8 ;19  7/8 ;;21      ;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE MANGA ;;P;CRITICA;;;20  1/2 ;;20  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ABERTURA DE MANGA ;;P;CRITICA;  3/16;  3/8 ;13  1/2 ;;14      ;;;;;;;;;;;;;;;;;;;;;;;
;CAPUCHA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO;;P;CRITICA;;;13  3/4 ;;14      ;;;;;;;;;;;;;;;;;;;;;;;
P;ALTO;;P;CRITICA;;;18      ;;18  5/16;;;;;;;;;;;;;;;;;;;;;;;
;PUÑO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO;;C;CRITICA;;;9  3/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO;;C;CRITICA;;;6  1/8 ;;6  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
;PRETINA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO;;C;CRITICA;;;28  1/4 ;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO;;C;CRITICA;;;6      ;;6      ;;;;;;;;;;;;;;;;;;;;;;;
;BOLSILLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO;;C;CRITICA;;;6  5/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO ;;C;CRITICA;;;10  3/4 ;;11      ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
