;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;24  3/8 ;;24  7/8 ;;25  3/8 ;;26;;26  3/8 ;;26  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  1/16;;25  9/16;;26  1/16;;26  9/16;;27  1/16;;27  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13 13/16;;14  5/16;;14 13/16;;15  5/16;;16  1/16;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;14  3/16;;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  1/2 ;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  1/4 ;;6 13/16;;7  5/16;;7 13/16;;8  9/16;;9  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;7  1/16;;7  9/16;;8;;8  1/2 ;;9  1/4 ;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN SISA DELANTERO Y EPALDA;;P;CRITICA;  3/8 ;  3/8 ;15;;16;;17;;18;;19  1/2 ;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;15;;16;;17;;18;;19  1/2 ;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;6  7/8 ;;7;;7  1/8 ;;7  1/4 ;;7  3/8 ;;7  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;7  9/16;;7 13/16;;8  1/16;;8  1/4 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;8;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESP ;;P;CRITICA;  1/4 ;  1/4 ;1  1/4 ;;1  3/8 ;;1  9/16;;1 11/16;;1 13/16;;7 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA  EN SISA;;P;CRITICA;  3/8 ;  3/8 ;11  7/16;;12  3/16;;12 15/16;;13  3/4 ;;14 13/16;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;24;;24  1/2 ;;25;;25  1/2 ;;26;;26  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA ;;P;CRITICA;;  3/8 ;7  1/2 ;;8;;8  1/2 ;;9;;9  1/2 ;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA  CUELLO ;;C;CRITICA;;;32  3/8 ;;33  1/4 ;;34;;34  3/4 ;;35  1/2 ;;36  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE COLLARETA CUELLO ;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE PECHERA ESCOTE;;C;CRITICA;;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;6  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE PECHERA ESCOTE ;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LARGO DE TAJO  ESCOTE ;;C;CRITICA;;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
