A;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8  1/2 ;;8  3/4 ;;9      ;;9  3/8 ;;9  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/4 ;;3  7/8 ;;3  7/8 ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;46  7/8 ;;48  1/8 ;;49  3/8 ;;50  1/2 ;;52      ;;;;;;;;;;;;;;;;;;;;;;;;;;
D;BOCA DE MANGA DELANTERO;;P;CRITICA;;;4  7/8 ;;5  1/8 ;;5  3/8 ;;5  5/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE DELANTERO EN SISA;;P;CRITICA;;;43  3/4 ;;44  7/8 ;;45  7/8 ;;46  7/8 ;;48  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;25  3/8 ;;25  3/4 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/16;16      ;;17      ;;18  1/8 ;;19  1/8 ;;20  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/16;23  3/4 ;;24  3/8 ;;25      ;;25  1/2 ;;26  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
K;BOCA DE MANGA ESPALDA;;P;CRITICA;;;4  7/8 ;;5  1/8 ;;5  3/8 ;;5  5/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/16;22  1/4 ;;22  3/4 ;;23  1/4 ;;23  3/4 ;;24  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/16;8  3/8 ;;8  7/8 ;;9  3/8 ;;9  7/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;14  3/16;;14  1/2 ;;14  7/8 ;;15  3/16;;15  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;4X2.5X3
T;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
U;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;26  5/8 ;;27  3/8 ;;28  1/8 ;;28  7/8 ;;29  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE PECHO DELANTERO;;P;CRITICA;;;12      ;;12  1/2 ;;13      ;;13  1/2 ;;14      ;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/16;23      ;;24      ;;25      ;;26      ;;27  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE PECHO ESPALDA;;P;CRITICA;;;12      ;;12  1/2 ;;13      ;;13  1/2 ;;14      ;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/16;11  7/8 ;;12  3/8 ;;12  7/8 ;;13  3/8 ;;14  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
5;UBICACIÓN DE CODO DELANTERO/ ESPALDA;;P;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ANCHO DE CODO DELANTERO/ ESPALDA;;P;CRITICA;  3/8 ;  3/16;6  5/8 ;;6  7/8 ;;7  3/8 ;;7  5/8 ;;8  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
