FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7/09/2022
FECHA DE GENERACION:;;12/04/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;ORVIS;;;;;;;;;ESTILO PROPIO 1:;;;;;;02577-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;01066-P1
ESTILO CLIENTE:;;3EG3;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.0%;;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;FALL 2023;;;IVONNE JARAMILLO-YOEL;;;;;TRAVEZ;;;;3.0%;;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL;;;;;;;;LARG.DE MANGA;;;;2.0%;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA 14-15;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE MANGA Y FALDÓN;;;;  1/4 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;
A;ANCHO DE HOMBROS DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14 5/8;;15 1/8;;15 3/4;;16 1/2;;17 1/2;;;;;;;;;;;;;;;;;;;
B;ANCHO DE ESCOTE DELANTERO;;P;CRITICA;;;7 1/2;;7 3/4;;8    ;;8 1/4;;8 1/2;;;;;;;;;;;;;;;;;;;
C;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;4 1/8;;4 1/4;;4 3/8;;4 1/2;;4 5/8;;;;;;;;;;;;;;;;;;;
D;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27 3/8;;27 7/8;;28 3/8;;28 7/8;;29 3/8;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18  1/16;;19  1/16;;20  5/16;;21 13/16;;23 13/16;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;22    ;;23    ;;24 1/4;;25 3/4;;27 3/4;;;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;7    ;;7 3/8;;7 3/4;;8 1/4;;8 3/4;;;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15 3/8;;15 7/8;;16 1/2;;17 1/4;;18 1/4;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8 1/8;;8 3/8;;8 5/8;;8 7/8;;9  1/16;;;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28 1/8;;28 5/8;;29 1/8;;29 5/8;;30 1/8;;;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/16;;19  1/16;;20  5/16;;21 13/16;;23 13/16;;;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22    ;;23    ;;24 1/4;;25 3/4;;27 3/4;;;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;;;7 7/8;;8 1/4;;8 5/8;;9  1/16;;9  9/16;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;13 1/2;;14 1/4;;15    ;;16    ;;17  1/16;;;;;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8 1/2;;8 7/8;;9 1/8;;9 3/8;;9 3/4;;;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24 3/4;;25 1/8;;25 1/2;;25 7/8;;26 1/4;;;;;;;;;;;;;;;;;;;
R;LARGO DE CUELLO;;C;CRITICA;;;20    ;;20 5/8;;21 1/4;;21 3/4;;22 3/8;;;;;;;;;;;;;;;;;;;
