A;LARGO DE DELANTERO;;P;CRITICAL;  5/16;  1/4 ;26  5/8 ;;27  1/8 ;;27  5/8 ;;28  1/8 ;;28  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO  DELANTERO-ESPALDA  EN SISA (MITAD);;P;CRITICAL;  5/16;  3/8 ;11  1/16;;11  9/16;;12  1/16;;12  9/16;;13  5/16;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO(MITADD);;P;CRITICAL;  5/16;  3/8 ;10 13/16;;11  5/16;;11 13/16;;12  5/16;;13  1/16;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  5/16;  3/8 ;12  1/4 ;;12  3/4 ;;13  1/4 ;;13 13/16;;14  9/16;;;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICAL;;;6  1/2 ;;6  3/4 ;;6  7/8 ;;7  1/16;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA DELANTERO;;P;CRITICAL;  5/16;  3/8 ;5  5/8 ;;6  1/8 ;;6  5/8 ;;7  1/8 ;;7  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CENTRO DELANTERO DER-IZQU;;P;CRITICAL;;;21  1/4 ;;21  5/8 ;;22      ;;22  3/8 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE ESPALDA;;P;CRITICAL;  5/16;  1/4 ;28  5/8 ;;29  1/8 ;;29  5/8 ;;30  1/8 ;;30  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA DE CUELLO ESPALDA;;P;CRITICAL;;;6  9/16;;6  3/4 ;;6 15/16;;7  1/8 ;;7  5/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA MITAD;;P;CRITICAL;  5/16;  3/8 ;12  7/16;;12 15/16;;13  7/16;;13 15/16;;14 13/16;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICAL;;;6  1/8 ;;6  5/8 ;;7  1/8 ;;7  5/8 ;;8  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE FALDON ESPALDAMITADD);;P;CRITICAL;  5/16;  3/8 ;11  1/16;;11  9/16;;12  1/16;;12  9/16;;13  5/16;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;12  3/8 ;;12  1/2 ;;12  5/8 ;;12  3/4 ;;12  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA (BICEP);;P;CRITICAL;  3/8 ;  3/8 ;11  9/16;;12  5/16;;13  1/16;;13  7/8 ;;15      ;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;8  5/8 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;10  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ALTO DE COLLARETA CUELLO;;C;CRITICAL;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE COLLARETA CUELLO;;C;CRITICAL;;;30  7/16;;31  1/8 ;;31  7/8 ;;32  9/16;;33  5/16;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICAL;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO ;;P;CRITICAL;  3/8 ;  3/8 ;11  9/16;;12  1/16;;12  9/16;;13  1/16;;13 13/16;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICAL;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA  ;;P;CRITICAL;  3/8 ;  3/8 ;11  9/16;;12  1/16;;12  9/16;;13  1/16;;13 13/16;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE CENTRO ESPALDA DER-IZQU;;P;CRITICAL;;;23  5/16;;23 11/16;;24  1/16;;24  7/16;;24 13/16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
