COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;23 13/16;;24  5/16;;24 13/16;;25  5/16;;25 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
B1;UBICACIÓN DE PECHO DELANTERO;;P;CRITICA;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13  1/4 ;;13  3/4 ;;14  1/4 ;;15      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO-ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16  1/4 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;LARGO  ABERTURA PECHERA;;P;CRITICA;;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE ABERTURA PECHERA;;P;CRITICA;;;  1/4 ;;  1/4 ;;  1/4 ;;  1/4 ;;  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA DELANTERO;;P;CRITICA;;;6  1/2 ;;7      ;;7  1/2 ;;8      ;;8 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;5  9/16;;5 13/16;;6  1/16;;6  5/16;;6  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;2  3/4 ;;2  7/8 ;;3      ;;3  1/8 ;;3  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA; 3/8; 3/8;16 13/16;;17 13/16;;18 13/16;;19 13/16;;21  5/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13 15/16;;14  7/16;;14 15/16;;15  7/16;;16  3/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  5/16;;14 13/16;;15  5/16;;15  7/8 ;;16  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  3/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
LL;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;; 13/16;; 15/16;;1  1/16;;1  3/16;;1  5/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;;;6 15/16;;7  7/16;;7 15/16;;8  7/16;;9  3/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ1;UBICACIÓN DE PECHO ESPALDA;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE PECHO ESPALDA;;P;CRITICA; 3/8; 3/8;13  1/2 ;;14      ;;14  1/2 ;;15      ;;15  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO ESPALDA;;P;CRITICA;  5/16; 1/4;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  1/16;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BICEP;;P;CRITICA; 3/8; 3/8;12  7/16;;13  1/4 ;;14      ;;14  3/4 ;;16      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;ABERTURA DE MANGA;;P;CRITICA; 3/8; 3/8;10  1/2 ;;11  1/8 ;;11  3/4 ;;12  3/8 ;;13  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO EXTERIOR/BORDE SUPERIOR;;C;CRITICA;;;16  7/8 ;;17  5/8 ;;18  3/8 ;;19  1/8 ;;19  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE CUELLO EXTERIOR/BORDE INFERIOR;;C;CRITICA;;;15  1/2 ;;16  1/4 ;;17      ;;17  3/4 ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE CUELLO EXTERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO INTERIOR/BORDE SUPERIOR;;C;CRITICA;;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO INTERIOR/BORDE INFERIOR;;C;CRITICA;;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE CUELLO EXTERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;ALTO DE PECHERA INFERIOR;;C;CRITICA;;;7      ;;7      ;;7      ;;7      ;;7      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y1;ANCHO PECHERA INFERIOR;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;ALTO DE PECHERA SUPERIOR;;C;CRITICA;;;7      ;;7      ;;7      ;;7      ;;7      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z1;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;LARGO DE TAPETE;;C;CRITICA;;;19  3/4 ;;20  5/8 ;;21  1/2 ;;22  1/4 ;;23      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
