C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/8 ;;18  7/8 ;;20  5/8 ;;22  7/16;;23 15/16;;25  3/16;;26  7/16;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;6  7/8 ;;7      ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;;;;;;;;;;;;;;3.0%;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;15 13/16;;16  3/4 ;;18  1/8 ;;19  7/16;;20 13/16;;21 15/16;;23  3/16;;;;;;;;;;;;;;;3.0%;
F;SISA RECTA ESPALDA;;P;CRITICA;;;9  5/16;;9  3/4 ;;10  1/8 ;;10  7/16;;10  7/8 ;;11  1/4 ;;11 11/16;;;;;;;;;;;;;;;3.0%;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20      ;;21  1/2 ;;22  1/2 ;;23  1/2 ;;25      ;;26  1/2 ;;28      ;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19 11/16;;21  3/16;;22  3/16;;23  3/16;;24 11/16;;26  3/16;;27 11/16;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29  3/4 ;;30  3/4 ;;31  3/4 ;;32  3/4 ;;33  3/4 ;;34  3/4 ;;35  3/4 ;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;5  3/4 ;;6      ;;6  3/4 ;;7  7/16;;8  1/16;;8  7/16;;8 13/16;;;;;;;;;;;;;;;2.0%;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  5/8 ;;6  7/8 ;;7  1/16;;7  5/16;;7  1/2 ;;8      ;;8  1/2 ;;;;;;;;;;;;;;;3.0%;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3      ;;3  1/4 ;;3  1/2 ;;3  3/4 ;;4      ;;4  1/4 ;;4  1/2 ;;;;;;;;;;;;;;;2.0%;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17  3/8 ;;18  1/8 ;;19  7/8 ;;21 11/16;;23  3/16;;24  7/16;;25 11/16;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;5  1/2 ;;5  3/4 ;;5  3/4 ;;5  7/8 ;;6  1/8 ;;6  5/16;;6  1/2 ;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  3/4 ;;16  3/4 ;;18  1/8 ;;19  7/16;;20  3/4 ;;22      ;;23  3/16;;;;;;;;;;;;;;;7/07/2023;
P;SISA RECTA DELANTERO;;P;CRITICA;;;8  5/16;;8  3/4 ;;9  1/16;;9  7/16;;9 13/16;;10  1/4 ;;10 11/16;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;28  3/4 ;;29  3/4 ;;30  3/4 ;;31  3/4 ;;32  3/4 ;;33  3/4 ;;34  3/4 ;;;;;;;;;;;;;;;3.0%;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;8  9/16;;8 13/16;;9 13/16;;11  1/16;;11  3/8 ;;12  3/8 ;;13  3/8 ;;;;;;;;;;;;;;;5.0%;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;17  5/16;;18  5/16;;19  3/16;;19 15/16;;20 13/16;;21  5/8 ;;22  7/16;;;;;;;;;;;;;;;3.0%;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  3/4 ;;16  3/8 ;;16  1/2 ;;16  3/4 ;;18  1/16;;19  1/8 ;;20  3/16;;;;;;;;;;;;;;;;
U;LARGO DE CUELLO ;;C;CRITICA;;;16 15/16;;17 11/16;;18  7/16;;19  3/16;;19 15/16;;21      ;;22  1/8 ;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO ;;C;CRITICA;;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE ;;C;CRITICA;;;12 15/16;;13  3/16;;13  7/16;;13 11/16;;13 15/16;;14  7/16;;14 15/16;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
