FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  -PILOTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;16/11/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;01717-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;L1230;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.5%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;SS23;;;;;;;;TRAVEZ;;;;2.5%;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;2--3-4-5-6-7-8-9;;;;;;;;LARG.DE MANGA;;;;2.5%;;;
TIPO MUESTRA:;;PRODUCCION (PILOTO) PROGRAMA 8;;;;;;;;;MEDIDA :;;;;;;CENTIMETRO;;;;YOEL;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;0.3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.5;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.5;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.5;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2;;3;;4;;5;;6;;7;;8;;9;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;19.5;;19.5;;20.5;;20.5;;21.5;;21.5;;22.5;;22.5;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.5;;3.5;;3.7;;3.7;;3.9;;3.9;;4.2;;4.2;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;48.0;;49.4;;51.2;;53.0;;54.8;;56.6;;58.4;;60.2;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;19.3;;20.1;;20.9;;21.7;;22.5;;23.3;;24.1;;24.9;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;39.5;;41.1;;43.1;;45.0;;46.9;;49.1;;51.3;;53.5;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;24.9;;25.6;;26.1;;26.7;;27.3;;28.1;;28.8;;29.7;;;;;;;;;;;
G;ANCHO DE PECHO DELANTER-ESPALDA;;P;CRITICA;;;49.3;;51.8;;55.3;;58.8;;62.3;;66.8;;71.3;;75.8;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;;;48.2;;50.7;;54.2;;57.7;;61.2;;65.7;;70.2;;74.7;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;;;79.4;;80.9;;82.4;;83.9;;85.4;;87.4;;89.4;;91.5;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;15.1;;15.8;;16.3;;17.2;;17.6;;18.6;;19.0;;20.0;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;16.5;;16.5;;17.5;;17.5;;18.5;;18.5;;19.5;;19.5;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;7.7;;7.7;;8.2;;8.2;;8.7;;8.7;;9.2;;9.2;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;45.2;;46.6;;48.2;;49.9;;51.7;;53.5;;55.2;;56.9;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;15.6;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;;;37.2;;38.8;;40.8;;42.8;;44.6;;46.8;;49.0;;51.2;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;;;21.3;;21.9;;22.6;;23.3;;24.0;;24.9;;25.8;;26.7;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;;;75.7;;77.2;;78.7;;80.2;;81.7;;83.7;;85.7;;87.7;;;;;;;;;;;
