C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/16;  3/8 ;15  1/2 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20      ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/16;  5/16;13  5/8 ;;14  3/16;;14  5/8 ;;15  1/4 ;;16      ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  7/16;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;4      ;;;;;;;;;;;;;;;;;
H;ALTO DE CINTURA DELANTERO;;P;CRITICA;;;14  3/4;;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;;;;;;;;;;;;;;;;
I;ANCHO DE CINTURA DELANTERO Y ESPALDA;;P;CRITICA;  3/16;  3/8 ;15 3/8;;16  3/8 ;;17  3/8 ;;18 3 /8;;19  7/8 ;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;25  1/16;;25  9/16;;26  1/16;;26  1/2 ;;27  1/16;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/16;  5/16;14  1/16;;14  9/16;;15  1/16;;15  9/16;;16  3/8 ;;;;;;;;;;;;;;;;;
L;ALTO DE CINTURA ESPALDA;;P;CRITICA;;;15  1/4 ;;15 3 /4;;16  1/4 ;;16  3/4 ;;17  1/4 ;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;;;6  5/8 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;9      ;;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/16;  3/8 ;11  5/8 ;;12  7/16;;13  1/4 ;;14      ;;15  1/4 ;;;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/16;  3/8 ;7  7/16;;7  7/8 ;;8  7/16;;8  7/8 ;;9  7/16;;;;;;;;;;;;;;;;;
S;ANCHO DE COLLARETA CUELLO ;;C;CRITICA;;;23      ;;23  3/4 ;;24  1/2 ;;25  3/8 ;;26  1/8 ;;;;;;;;;;;;;;;;;
T;ALTO DE COLLARETA  CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
U;ANCHO DE TAPETE ;;C;CRITICA;;;12  3/4 ;;13  1/8 ;;13  7/16;;13  7/8 ;;14  1/4 ;;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;; 11 /8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
