FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  -PRENDA LAVADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;18/05/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/10/2021;;;22/02/2023
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;00896-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;
ESTILO CLIENTE:;;527938;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;9.0%;;;18/01/2023;;;9.0%
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;ESPECIAL;;;;TRAVEZ;;;;9.0%;;;8.0%;;;10.0%
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;8.0%;;;8.0%;;;9.0%
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;DORA;;;;;;;;;;8.0%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);M;;;;L;;;;XL;;;;XXL;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;5  3/4 ;;;;6  1/8 ;;;;6  1/2 ;;;;6  7/8 ;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3  3/8 ;;;;3  5/8 ;;;;3  3/4 ;;;;4      ;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;20      ;;;;21      ;;;;22      ;;;;23      ;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;24  7/16;;;;26  7/16;;;;28  7/16;;;;30  7/16;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;8 13/16;;;;9  1/16;;;;9  3/8 ;;;;9  5/8 ;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;24  1/4 ;;;;26  1/4 ;;;;28  1/4 ;;;;30  1/4 ;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;35  1/8 ;;;;36  1/8 ;;;;37  1/8 ;;;;38  1/8 ;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;6  9/16;;;;6 15/16;;;;7  5/16;;;;7 11/16;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  5/16;;;;1  5/16;;;;1  7/16;;;;1  9/16;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;20 13/16;;;;21 13/16;;;;22 13/16;;;;23 13/16;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;9  1/2 ;;;;9 11/16;;;;9 15/16;;;;10  3/16;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;35  7/8 ;;;;36  7/8 ;;;;37  7/8 ;;;;38  7/8 ;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;26  7/8 ;;;;27  3/8 ;;;;27  7/8 ;;;;27  7/8 ;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  3/4 ;;;;19  3/4 ;;;;20  3/4 ;;;;21  3/4 ;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;10      ;;;;10  1/2 ;;;;11      ;;;;11  1/2 ;;;;;;;;;;;;;;;;
1;LARGO DE TAJO;;P;CRITICA;  7/16;  1/2 ;5  9/16;;;;5  9/16;;;;5  9/16;;;;5  9/16;;;;;;;;;;;;;;;;
2;ANCHO DE TAJO;;P;CRITICA;  7/16;  1/4 ;1  1/16;;;;1  1/16;;;;1  1/16;;;;1  1/16;;;;;;;;;;;;;;;;
P;LARGO DE PECHERA;;C;CRITICA;;;8  9/16;;;;8  9/16;;;;8  9/16;;;;8  9/16;;;;;;;;;;;;;;;;
Q;ANCHO DE PECHERA;;C;CRITICA;;;3 13/16;;;;3 13/16;;;;3 13/16;;;;3 13/16;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;;;10      ;;;;10      ;;;;11      ;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;19  1/4 ;;;;20  1/4 ;;;;21  1/4 ;;;;22  1/4 ;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;;;;
V;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;22  7/8 ;;;;23  7/8 ;;;;24  3/4 ;;;;25  3/4 ;;;;;;;;;;;;;;;;
W;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;;;;
X;LARGO DE PUÑO RIB;;C;CRITICA;  1/4 ;  3/8 ;8  5/8 ;;;;9  1/8 ;;;;9  5/8 ;;;;10  1/8 ;;;;;;;;;;;;;;;;
Y;ALTO DE PUÑO RIB;;C;CRITICA;;;6      ;;;;6      ;;;;6      ;;;;6      ;;;;;;;;;;;;;;;;
3;LARGO DE CUELLO ;;C;CRITICA;;;16  3/4 ;;;;17  3/4 ;;;;18  3/4 ;;;;19  3/4 ;;;;;;;;;;;;;;;;
4;ALTO DE CUELLO EN 1/2 CENTRO;;C;CRITICA;  1/4 ;  1/4 ;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;;;;;;;;;;;;;
5;ALTO DE PUNTA DE CUELLO;;C;CRITICA;  1/4 ;  1/4 ;3      ;;;;3      ;;;;3      ;;;;3      ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
