A;LARGO DE DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  3/4 ;;28  3/4 ;;29  3/4 ;;30  3/4 ;;31  3/4 ;;32  3/4 ;;33  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;28  3/4 ;;31  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;28      ;;30  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17      ;;17  3/4 ;;18  1/2 ;;19  1/2 ;;20  1/2 ;;22  1/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  7/16;;8  7/8 ;;10      ;;10  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5 13/16;;6  1/16;;6  5/16;;6  9/16;;6 13/16;;7  5/16;;7 13/16;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5      ;;5  1/8 ;;5  1/4 ;;5  3/8 ;;5  1/2 ;;5  3/4 ;;6      ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16; 1/4;29  5/8 ;;30  5/8 ;;31  5/8 ;;32  5/8 ;;33  5/8 ;;34  5/8 ;;35  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  3/16;;10  9/16;;11  9/16;;12  5/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  3/8 ;;19  1/8 ;;19  7/8 ;;20  7/8 ;;21  7/8 ;;23  5/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;8  5/16;;8 13/16;;9  5/16;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  7/8 ;;1  7/8 ;;2      ;;2      ;;2  1/8 ;;2  1/8 ;;2  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;16  1/8 ;;16  7/8 ;;17  3/4 ;;18  9/16;;19  1/2 ;;21  5/8 ;;23      ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;14  3/16;;15      ;;15 13/16;;16 13/16;;17  3/4 ;;19  3/8 ;;20  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  1/8 ;;9  3/4 ;;10  3/8 ;;10  7/8 ;;11  3/8 ;;11  3/4 ;;12  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO  DE CUELLO ;;C;CRITICA;;;19  9/16;;20  1/8 ;;20  3/4 ;;21  1/4 ;;21  7/8 ;;23      ;;24  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO  TAPETE ESPALDA;;C;CRITICA;;;13 13/16;;14  1/16;;14  3/8 ;;14  5/8 ;;14 15/16;;15  7/16;;16      ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPET E ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  3/8 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  3/4 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20  1/4 ;;21  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;9  3/16;;9  9/16;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  1/2 ;;16  1/4 ;;17      ;;18      ;;19      ;;20  3/4 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
5;ANCHO HOMBRO INDIVIDUAL;;P;CRITICA;;;5 15/16;;6  3/16;;6  7/16;;6 13/16;;7  3/16;;7 13/16;;8  5/16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
