COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  3/4 ;;28  3/4 ;;29  3/4 ;;30  3/4 ;;31  3/4 ;;32  3/4 ;;33  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PECHO DELANTERO EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  3/16;;21  3/16;;22  3/16;;23 11/16;;25  3/16;;28 11/16;;31  3/16;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO ESPALDA EN SISA;;P;CRITICA;;;20  7/16;;21  7/16;;22  7/16;;23 15/16;;25  7/16;;28 15/16;;31  7/16;;;;;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  1/8 ;;20  3/8 ;;21  3/8 ;;22  7/8 ;;24  3/8 ;;27 13/16;;30  5/16;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON ESPALDA;;P;CRITICA;;;19  3/8 ;;20  5/8 ;;21  5/8 ;;23  1/8 ;;24  5/8 ;;28  1/16;;30  9/16;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  7/16;;17  3/16;;17 15/16;;18 15/16;;19 15/16;;21 11/16;;23  3/16;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  7/8 ;;7  7/16;;7 15/16;;8  3/8 ;;8 13/16;;9 15/16;;10 11/16;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  3/16;;5  3/8 ;;5  1/2 ;;5 13/16;;6  1/16;;6  5/8 ;;7  1/16;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  1/2 ;;2  5/8 ;;2  3/4 ;;2  7/8 ;;3      ;;3  1/4 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16; 1/4;29 13/16;;30 13/16;;31 13/16;;32 13/16;;33 13/16;;34 13/16;;35 13/16;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;8  9/16;;9  1/8 ;;9  9/16;;10      ;;10  7/16;;11  1/2 ;;12  3/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18      ;;18  3/4 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;23  1/4 ;;24  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  5/8 ;;6 13/16;;6 15/16;;7  1/4 ;;7  1/2 ;;8  1/16;;8  7/16;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/2 ;;1  1/2 ;;1  5/8 ;;1  5/8 ;;1  3/4 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;15  5/8 ;;16  5/8 ;;17  1/2 ;;18  1/2 ;;19  1/2 ;;21  5/8 ;;23  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;13  7/16;;14  1/2 ;;15  5/8 ;;16 11/16;;17  3/4 ;;19      ;;20  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  3/8 ;;10      ;;10  5/8 ;;11  1/8 ;;11  5/8 ;;12      ;;12  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  3/4 ;;6  7/8 ;;7      ;;7  3/8 ;;7  9/16;;8  1/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO INTERIOR/BORDE SUPERIOR;;C;CRITICA;;;17  1/4 ;;17  3/4 ;;18  1/4 ;;19      ;;19  3/4 ;;21      ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE CUELLO INTERIOR/BORDE INFERIOR;;C;CRITICA;;;16  1/4 ;;16  3/4 ;;17  1/4 ;;18      ;;18  3/4 ;;20      ;;21  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO INTERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;
P1;ANCHO DE CUELLO EXTERIOR/BORDE SUPERIOR;;C;CRITICA;;;17      ;;17  1/2 ;;18      ;;18  3/4 ;;19  1/2 ;;20  3/4 ;;22      ;;;;;;;;;;;;;;;;;;;;;;;
Q1;ANCHO DE CUELLO EXTERIOR/BORDE INFERIOR;;C;CRITICA;;;16      ;;16  1/2 ;;17      ;;17  3/4 ;;18  1/2 ;;19  3/4 ;;21      ;;;;;;;;;;;;;;;;;;;;;;;
R1;ALTO DE CUELLO EXTERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BANDA INTERIOR;;C;CRITICA;;;18      ;;18  1/2 ;;19      ;;19  3/4 ;;20  1/2 ;;21  3/4 ;;23      ;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
S1;ANCHO  DE BANDA EXTERNO;;C;CRITICA;;;17  3/4 ;;18  1/4 ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21  1/2 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
T1;ALTO DE BANDA EXTERNO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE PECHERA SUPERIOR;;C;CRITICA;;;6  7/8 ;;7  1/8 ;;7  1/8 ;;7  3/8 ;;7  3/8 ;;7  5/8 ;;7  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO PECHERA SUPERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE PECHERA INFERIOR;;C;CRITICA;;;6  7/8 ;;7  1/8 ;;7  1/8 ;;7  3/8 ;;7  3/8 ;;7  5/8 ;;7  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA INFERIOR;;C;CRITICA;  3/8 ;  3/8 ;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
Y;LARGO DE BLOQUE DELANTERO;;P;CRITICA;;;30      ;;31      ;;32      ;;33      ;;34      ;;35      ;;36      ;;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE HOMBRO BLOQUE DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18  1/2 ;;19  1/4 ;;20      ;;21      ;;22      ;;23  5/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
Z1;ANCHO DE PECHO BOLQUE DELANTERO;;P;CRITICA;;;22  1/2 ;;23  1/2 ;;24  1/2 ;;26      ;;27  1/2 ;;31      ;;33  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
Z2;ANCHO DE FALDON BLOQUE DELANTERO;;P;CRITICA;;;21  3/8 ;;22  5/8 ;;23  5/8 ;;25  1/8 ;;26  5/8 ;;30      ;;32  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  3/8 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;14  3/4 ;;15  1/2 ;;16  1/4 ;;17  1/4 ;;18  1/4 ;;20      ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9  1/4 ;;9  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;15  3/8 ;;16  1/8 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;20  5/8 ;;22  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
5;LARGO DE TAJO DELANTERO;;P;CRITICA;;;4  9/16;;4 13/16;;4 13/16;;5  1/16;;5  1/16;;5  5/16;;5  5/16;;;;;;;;;;;;;;;;;;;;;;;
6;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;6  1/8 ;;6  3/8 ;;6 11/16;;7  1/16;;7  7/16;;8  1/16;;8  9/16;;;;;;;;;;;;;;;;;;;;;;;
7;ANCHO DE ABERTURA DE TAJO;;P;CRITICA;;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
