FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;1/09/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;STITCH FIX;;;;;;;;;ESTILO PROPIO 1:;;;;7602;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;MGK10087;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.0%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;FALL 20;;;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;CABALLERO;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL-2XL-3XL;;;;;;;;;;LARGO DE MANGA ;;;;2.0%;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADOS DE COSTADO;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);;;XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;
A;ABERTURA DE CUELLO CANESU ESPALDA;;P;CRITICA;;;;;6 13/16;;7  1/8 ;;7  3/8 ;;7  3/4 ;;8      ;;8 1/2;;9      ;;;;;;;;;;;
B;CAIDA DE CUELLO ESPALDA EN CANESU;;P;CRITICA;;;;;3  1/16;;3  1/16;;3  1/4 ;;3  1/4 ;;3  3/8 ;;3  3/8 ;;3  7/16;;;;;;;;;;;
C;ANCHO DE HOMBRO / HOMBRO - CANESU ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;18 3/16;;19 5/8;;20 7/16;;21 7/16;;22 7/16;;24;;25 1/2;;;;;;;;;;;
D;ALTO DE CANESU DESDE HPS.;;P;CRITICA;  3/16;  3/8 ;;;8 3/8;;81/2;;8 7/8;;9 3/16;;9 1/2;;10 1/4;;11 1/8;;;;;;;;;;;
E;ANCHO INFERIOR DE CANESU;;P;CRITICA;  3/16;  3/8 ;;;15 3/4;;16 1/2;;17 1/8;;18 1/8;;19 1/8;;20 1/2;;22;;;;;;;;;;;
F;LARGO ESPALDA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;;;23 5/8;;24  7/16;;25      ;;25 3/4;;26  7/16;;26 5/8;;26 3/4;;;;;;;;;;;
G;ANCHO DE BORDE SUPERIOR ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;15 3/4;;16 1/2;;17 1/4;;18 1/4;;19  3/16;;20 5/8;;22    ;;;;;;;;;;;
H;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;20  7/16;;21  7/16;;22  7/16;;23 7/8;;25  7/16;;27 7/8;;30  7/16;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;5      ;;5 3/8;;5 1/2;;5 7/8;;6 1/8;;6 3/8;;6 5/8;;;;;;;;;;;
J;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;19 1/2;;20 1/2;;21 1/2;;23;;24 1/2;;27;;29 1/2;;;;;;;;;;;
K;ABERTURA DE CUELLO FRENTE;;P;CRITICA;  1/4 ;  1/4 ;;;3  3/4 ;;4  1/16;;4  3/8 ;;4  5/8 ;;5      ;;5  7/16;;5  7/8 ;;;;;;;;;;;
L;CAIDA DE CUELLO FRENTE;;P;CRITICA;  1/4 ;  1/4 ;;;7 /8;;1 1/8;;1 1/4;;1 3/8;;1  1/2;;1 3/4;;1 7/8;;;;;;;;;;;
LL;ABERTURA DE TAJO PECHERA DELANTERO;;P;CRITICA;;;;;5      ;;5  1/4 ;;5  1/4 ;;5  1/2 ;;6  1/4 ;;6  1/2 ;;6  1/2 ;;;;;;;;;;;
M;ANCHO DE HOMBRO / HOMBRO - DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;16 1/4;;17;;17 7/8;;18 7/8;;19 7/8;;21 3/8;;23;;;;;;;;;;;
N;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;6 3/8;;6 7/8;;7 3/8;;7 7/8;;8 1/4;;9;;93/4;;;;;;;;;;;
Ñ;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;;;26;;27;;28;;29;;30;;31;;32;;;;;;;;;;;
O;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;;;26 7/16;;27 3/8;;28 3/16;;28 5/8;;29 3/16;;29;;28 3/16;;;;;;;;;;;
P;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/8 ;;;14 5/8;;15 5/8;;16 5/8;;17 5/8;;18 5/8;;20 1/4;;21 5/8;;;;;;;;;;;
Q;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/8 ;;;8 7/16;;9;;9 1/2;;10;;10 1/2;;11 5/8;;12 3/4;;;;;;;;;;;
R;ANCHO DE CUELLO EXTERIOR/ INTERIOR;;C;CRITICA;  1/4 ;  1/4 ;;;16 1/2;;17 1/4;;18;;18 3/4;;19 1/2;;20 3/4;;22;;;;;;;;;;;
S;ALTO DE CUELLO EXTERIOR/ INTERIOR;;C;CRITICA;  1/4 ;  1/4 ;;;2 5/8;;2 5/8;;2 5/8;;2 5/8;;2 5/8;;2 7/8;;2 7/8;;;;;;;;;;;
T;ANCHO INFERIOR DE CUELLO EXTERIOR / INTERIOR ;;C;CRITICA;  1/4 ;  1/4 ;;;15 1/4;;16;;16 3/4;;17 1/2;;18 1/4;;19 1/2;;20 7/8;;;;;;;;;;;
