A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;24  7/8 ;;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/16;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;21  1/4 ;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/16;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/16;6  3/8 ;;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  5/8 ;;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;
F;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  3/4 ;;2  7/8 ;;3      ;;3  1/8 ;;3  1/4 ;;;;;;;;;;;;;;;;;;;;;;
G;LARGO  DE PROFUNDIDAD DE PECHERA;;P;CRITICA;;;8  1/4 ;;8  3/8 ;;8  1/2 ;;8  5/8 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;
H;UBICACIÓN DE CINTURA DELANTERO;;P;CRITICA;;;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  3/8 ;;16  7/8 ;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE CINTURA DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/16;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;20  1/4 ;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/16;16  5/8 ;;17  5/8 ;;18  5/8 ;;19  5/8 ;;21  1/8 ;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESPALDA ;;P;CRITICA;;;  7/8 ;;1      ;;1  1/8 ;;1  1/4 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;
LL;SISA RECTA ESPALDA ;;P;CRITICA;;;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  3/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/16;14  1/4 ;;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE CINTURA ESPALDA ;;P;CRITICA;;;15  1/2 ;;16      ;;16  1/2 ;;17      ;;17  1/2 ;;;;;;;;;;;;;;;;;;;;;;
Ñ;LARGO DE CUERPO  ESPALDA ;;P;CRITICA;;;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;;;;
O;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/16;12  5/16;;13  1/8 ;;13  7/8 ;;14  5/8 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA ;;P;CRITICA;;;7  9/16;;7 13/16;;8  1/16;;8  5/16;;8  5/8 ;;;;;;;;;;;;;;;;;;;;;;
Q;ABERTURA DE BOCA DE MANGA ;;P;CRITICA;;;10  9/16;;10  7/8 ;;11  7/8 ;;12  1/16;;12 15/16;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE CUELLO SUPERIOR E INFERIOR BORDE SUPERIOR;;C;CRITICA;;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE CUELLO SUPERIOR E INFERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE CUELLO SUPERIOR E INFERIOR BORDE INFERIOR;;C;CRITICA;;;15  5/8 ;;16  3/8 ;;17  1/8 ;;17  7/8 ;;18  5/8 ;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE PECHERA;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;;;;;;;;;
W;LARGO DE PECHERA;;C;CRITICA;;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
