COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;XXXL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;28  1/4 ;;29      ;;29  3/4 ;;30  1/2 ;;31  1/4 ;;32      ;;32  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  3/8 ;;19  7/8 ;;21  3/8 ;;22  7/8 ;;24  3/8 ;;25  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  3/16;;20 11/16;;22  3/16;;23 11/16;;25  3/16;;26  5/8 ;;28  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21      ;;;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA DELANTERO;;P;CRITICA;;;7  3/4 ;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;10  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3      ;;3  1/8 ;;3  3/8 ;;3  5/8 ;;3  7/8 ;;4  1/8 ;;4  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA ;;P;CRITICA;  5/16;  1/4 ;30      ;;30  3/4 ;;31  1/2 ;;32  1/4 ;;33      ;;33  3/4 ;;34  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  5/16;;18  1/16;;18 13/16;;19  9/16;;20  5/16;;21  1/16;;21 13/16;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;8 11/16;;9  1/8 ;;9  5/8 ;;10  1/8 ;;10  9/16;;11  1/8 ;;11  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;8  5/8 ;;9      ;;9  3/8 ;;9  3/4 ;;10  1/8 ;;10  1/2 ;;10  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;13  5/8 ;;14  5/8 ;;15  5/8 ;;16  5/8 ;;17  5/8 ;;18  5/8 ;;19  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PECHERA SUPERIOR;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE PECHERA  INFERIOR;;C;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE PECHERA INFERIOR;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE CUELLO SUPERIOR BORDE SUPERIOR;;C;CRITICA;;;16  5/8 ;;17  3/8 ;;18  3/16;;19  1/16;;19  7/8 ;;20  3/4 ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO SUPERIOR BORDE INFERIOR;;C;CRITICA;;;15  5/8 ;;16  3/8 ;;17  3/16;;18  3/16;;19  1/4 ;;20  1/4 ;;21  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE CUELLO SUPERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE CUELLO INFERIOR BORDE SUPERIOR;;C;CRITICA;;;16  5/8 ;;17  3/8 ;;18  3/16;;19  1/16;;19  7/8 ;;20  3/4 ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO INFERIOR BORDE INFERIOR;;C;CRITICA;;;15  5/8 ;;16  3/8 ;;17  3/16;;18  3/16;;19  1/4 ;;20  1/4 ;;21  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO INFERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
1;ANCHO DE BANDA INTERNA;;C;CRITICA;;;18  1/2 ;;19  1/4 ;;20      ;;21      ;;22      ;;23      ;;24      ;;;;;;;;;;;;;;;;;;;;;;;
2;ALTO DE BANDA INTERNA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
3;ANCHO DE BANDA EXTERNA;;C;CRITICA;;;18  5/8 ;;19  3/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  1/8 ;;24  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
4;ALTO DE BANDA EXTERNA;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
5;ALTO DE TAJO EN DELANTERO;;P;CRITICA;;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
6;ALTO DE VETNZ DELANTERO;;P;CRITICA;;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
7;ALTO DE VENTZ ESPALDA;;P;CRITICA;;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
8;ANCHO DE PECHERA ;;C;CRITICA;;;4      ;;4      ;;4      ;;4      ;;4      ;;4      ;;4      ;;;;;;;;;;;;;;;;;;;;;;;
9;LARGO DE PECHERA ;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
