;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);1X;;2X;;3X;;;;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;6 11/16;;6 15/16;;7  3/16;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1 11/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  1/8 ;;17  5/8 ;;18  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;7  3/16;;7  3/16;;7  3/16;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;16  3/8 ;;16  7/8 ;;17  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;10  7/16;;11  1/16;;11  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;25 15/16;;27 15/16;;29 15/16;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;;;28      ;;30      ;;32      ;;;;;;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;31  5/8 ;;32  1/4 ;;32  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;5  7/16;;5  9/16;;5 11/16;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3 11/16;;3 13/16;;4  1/16;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16 11/16;;17  3/16;;17 11/16;;;;;;;;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;6  3/4 ;;6  3/4 ;;6  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  7/8 ;;16  3/8 ;;16  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;9  7/8 ;;10  9/16;;11  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;31  9/16;;32  3/16;;32 13/16;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;20  3/8 ;;20  1/2 ;;20  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;18  5/8 ;;19  7/8 ;;21  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;14  1/4 ;;15  3/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;
Z1;ALTO DE VENZ DELANTERO-ESPALDA;;P;CRITICA;;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;;;;;;;
A1;ANCHO DE CUELLO EXTERIOR-BORDE SUPERIOR;;C;CRITICA;;;19  3/4 ;;20  1/2 ;;21  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
A2;ANCHO DE CUELLO EXTERIOR-BORDE INFERIOR;;C;CRITICA;;;16      ;;16  3/4 ;;17  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
B1;ALTO DE CUELLO EXTERIOR;;C;CRITICA;;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE CUELLO INTERIOR-BORDE SUPERIOR;;C;CRITICA;;;20      ;;20  3/4 ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
C2;ANCHO DE CUELLO INTERIOR-BORDE INFERIOR;;C;CRITICA;;;16  1/4 ;;17      ;;17  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
D1;ALTO DE CUELLO INTERIOR;;C;CRITICA;;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;;
E1;ANCHO DE BANDA INTERIOR-EXTERIOR;;C;CRITICA;;;18  5/8 ;;19  3/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;
F1;ALTO DE BANDA INTERIOR-EXTERIOR;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;
G1;ALTO DE PECHERA INFERIOR-LADO MAS LARGO;;C;CRITICA;;;7  3/16;;7  3/16;;7  3/16;;;;;;;;;;;;;;;;;;;;;;;;
H1;ALTO DE PECHERA SUPERIOR-LADO MAS LARGO;;C;CRITICA;;;7  3/16;;7  3/16;;7  3/16;;;;;;;;;;;;;;;;;;;;;;;;
I1;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
J1;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
K1;ABERTURA DE DELANTERO;;P;CRITICA;;;2  5/16;;2  5/16;;2  5/16;;;;;;;;;;;;;;;;;;;;;;;;
L1;ALTO DE TAJO;;P;CRITICA;;;4  7/16;;4  7/16;;4  7/16;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"MOLDE TIENE HIKING DE 1/4 EN ESCOTE Y FALDON CURVO DE  3/8""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
