FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;4/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;10464;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;
ESTILO CLIENTE:;;527931;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;9.0%;;;;527940;;10465
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;SS'22;;;;;;;;TRAVEZ;;;;11.0%;;;;;;
DIVISION:;;MENS                                     ;;;;;;;;;TALLAS:;;;;;;XXS-XS-S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;9.0%;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA # -210;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;;8.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;DORYS;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;4 15/16;;5  1/4 ;;5  5/8 ;;5 15/16;;6  5/16;;6 11/16;;7      ;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3  1/8 ;;3  1/4 ;;3  1/2 ;;3 11/16;;3  7/8 ;;4      ;;4  1/4 ;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;17  7/16;;18  7/16;;19  7/16;;20  7/16;;21  7/16;;22  1/2 ;;23  1/2 ;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;20  3/8 ;;21  7/8 ;;23  3/8 ;;24  7/8 ;;26  7/8 ;;28  7/8 ;;30  7/8 ;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  1/2 ;;9 13/16;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;20  1/8 ;;21  5/8 ;;23  1/8 ;;24  5/8 ;;26  5/8 ;;28  5/8 ;;30  5/8 ;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;31  3/4 ;;32  1/4 ;;32  3/4 ;;33  1/4 ;;34  1/4 ;;35  1/4 ;;36  1/4 ;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;5  1/2 ;;5  7/8 ;;6  1/4 ;;6  5/8 ;;7      ;;7  3/8 ;;7  3/4 ;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  3/16;;1  3/16;;1  5/16;;1  5/16;;1  5/16;;1  7/16;;1  9/16;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  1/8 ;;24  1/8 ;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;8  9/16;;8 13/16;;9  1/8 ;;9  3/8 ;;9  5/8 ;;9 15/16;;10  1/4 ;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;32  5/16;;32 13/16;;33  5/16;;33 13/16;;34 13/16;;35 13/16;;36 13/16;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;10  1/2 ;;10 13/16;;11  1/16;;11  5/16;;11  9/16;;11 13/16;;12  1/16;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;16  3/8 ;;17      ;;17  5/8 ;;18  3/8 ;;19  3/16;;20  3/16;;21  1/4 ;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;12  7/8 ;;13  3/4 ;;14  5/8 ;;15  1/2 ;;16  1/2 ;;17  9/16;;18  5/8 ;;;;;;;;;;;;;;;;
8;LARGO DE TAJO;;P;CRITICA;  7/16;  1/2 ;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;
2;ANCHO DE TAJO;;P;CRITICA;  7/16;  1/4 ;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;
P;LARGO DE PECHERA;;C;CRITICA;;;8  5/16;;8  5/16;;8  5/16;;8  5/16;;8  5/16;;8  5/16;;8  5/16;;;;;;;;;;;;;;;;
Q;ANCHO DE PECHERA;;C;CRITICA;;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;;;;;;;;;;;;;;;
U;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;10      ;;10      ;;10      ;;10      ;;10      ;;11      ;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;20  1/2 ;;21  1/4 ;;22  1/4 ;;22  7/8 ;;23  7/8 ;;24  3/4 ;;25  3/4 ;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
5;LARGO DE PUÑO RECTILINEO;;C;CRITICA;  1/4 ;  3/8 ;11  1/2 ;;12  1/2 ;;13  1/2 ;;14  1/2 ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;;;;;;;;;;;;;;;
6;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;;;;;;;;;;;;;;;
7;LARGO DE CUELLO ;;C;CRITICA;;;13  3/4 ;;14  3/4 ;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;;;;;;;;;;;;;;;
