C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/16;  3/8 ;13  1/2 ;;14  1/4 ;;15      ;;;;;;;;;;;;;;;;;;;;;
D;ANCHO HOMBRO INDIVIDUAL;;P;CRITICA;  3/16;  3/8 ;2      ;;2  1/8 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;10  1/2 ;;11      ;;11  1/2 ;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;10      ;;10  1/4 ;;10  1/2 ;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE ESCOTE  DELANTERO;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE TAJO DELANTERO;;P;CRITICA;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/16;  3/8 ;30      ;;31  1/2 ;;33  3/4 ;;;;;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA ;;P;CRITICA;;;29  7/8 ;;30  5/8 ;;31  1/2 ;;;;;;;;;;;;;;;;;;;;;
K;ANCHO DE PUNTA DE PECHO ESPALDA ;;P;CRITICA;;;23      ;;24  1/2 ;;26  5/8 ;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/16;  3/8 ;12  3/8 ;;13  1/8 ;;13  7/8 ;;;;;;;;;;;;;;;;;;;;;
LL;ANCHO DE HOMBRO INDIVIDUAL ESPALDA;;P;CRITICA;  3/16;  3/8 ;2  1/8 ;;2  3/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;11  3/4 ;;12  1/8 ;;12  5/8 ;;;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE ESCOTE ESPALDA ;;P;CRITICA;  3/16;  3/8 ;8  3/8 ;;8  5/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;
Ñ;CAIDA DE ESCOTE ESPALDA ;;P;CRITICA;;;7  7/8 ;;8      ;;8  1/8 ;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE FALDON  ESPALDA ;;P;CRITICA;  3/16;  3/8 ;27      ;;28  1/2 ;;30  5/8 ;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE PECHERA ;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE PECHERA ;;C;CRITICA;;;7  3/4 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE COLLARETA CUELLO;;C;CRITICA;;;42  7/8 ;;43  3/4 ;;44  3/4 ;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE COLLARETA SISA ;;C;CRITICA;;;30      ;;30  7/8 ;;32  1/4 ;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA SISA ;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE TAPETE;;P;CRITICA;;;22  3/4 ;;23      ;;23  1/4 ;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE TAPETE;;P;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
1;MEDIDA DE UBICACIÓN DE PIQUETE DELANTERO;;P;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;
2;MEDIDA UBICACIÓN DE PIQUETE DELANTERO CENTRO ;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;
3;MEDIDA DE UBICACIÓN DE PIQUETE ESPALDA ;;P;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;
4;MEDIDA UBICACIÓN DE PIQUETE ESPALDA CENTRO ;;P;CRITICA;;;7  1/2 ;;7  7/8 ;;8  3/8 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
