C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;44.3;;45.7;;47.5;;49.3;;51.1;;52.9;;54.7;;56.5;;58.3;;60.1;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;22.1;;22.9;;23.7;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;39.4;;41.0;;42.9;;44.8;;46.7;;48.9;;51.1;;53.3;;55.5;;57.7;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.70;1.00;22.1;;22.7;;23.3;;24.0;;24.6;;25.4;;26.3;;27.2;;28.1;;29.1;;;;;;;
G;ANCHO DE PECHO DELANTER-ESPALDA;;P;CRITICA;1.00;1.00;47.7;;50.2;;53.7;;57.2;;60.7;;65.2;;69.7;;74.2;;78.7;;83.2;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;;;45.4;;47.9;;51.4;;54.9;;58.4;;62.9;;67.4;;71.9;;76.4;;80.9;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.70;0.70;77.1;;78.6;;80.1;;81.6;;83.1;;85.1;;87.1;;89.2;;91.2;;93.2;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;14.9;;15.6;;16.1;;17.0;;17.4;;18.3;;18.8;;19.7;;20.2;;21.1;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;15.3;;15.3;;16.3;;16.3;;17.3;;17.3;;18.3;;18.3;;19.3;;19.3;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;8.3;;8.3;;8.8;;8.8;;9.3;;9.3;;9.8;;9.8;;10.3;;10.3;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;43.0;;44.3;;46.2;;47.9;;49.7;;51.5;;53.3;;55.1;;56.9;;58.7;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;22.0;;22.9;;23.7;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;37.5;;39.1;;40.9;;42.8;;44.7;;46.9;;49.1;;51.3;;53.6;;55.8;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.70;1.00;19.0;;19.7;;20.3;;21.0;;21.7;;22.6;;23.6;;24.6;;25.6;;26.7;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.70;0.70;74.3;;75.8;;77.3;;78.8;;80.3;;82.3;;84.3;;86.4;;88.4;;90.4;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;21.2;;21.9;;22.6;;23.3;;24.0;;24.7;;25.4;;26.1;;26.8;;27.5;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;36.5;;38.0;;39.8;;41.6;;43.4;;46.3;;49.2;;52.1;;55.1;;58.0;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;33.1;;34.3;;35.9;;37.5;;39.1;;41.0;;43.0;;44.9;;46.9;;48.9;;;;;;;
U;LARGO DE CUELLO RECTILINEO;;C;CRITICA;;;39.5;;39.5;;42.0;;42.0;;44.5;;44.5;;47.0;;47.0;;49.5;;49.5;;;;;;;
V;ALTO DE CUELLO CENTRO;;C;CRITICA;;;9.2;;9.2;;9.2;;9.2;;9.2;;9.7;;9.7;;9.7;;9.7;;9.7;;;;;;;
W;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;6.7;;6.7;;6.7;;6.7;;6.7;;7.2;;7.2;;7.2;;7.2;;7.2;;;;;;;
X;LARGO DE PUÑO RECTILINEO;;C;CRITICA;;;30.4;;31.6;;33.0;;34.4;;35.8;;37.6;;39.4;;41.2;;43.0;;44.8;;;;;;;
Y;ALTO DE PUÑO;;C;CRITICA;;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;;;;;;
B1;LARGO DE TAJO PECHERA;;P;CRITICA;;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;;;;;;
C1;ANCHO DE TAJO PECHERA;;P;CRITICA;;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
