C;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;15  3/16;;15 11/16;;16  3/16;;16 13/16;;17  9/16;;17 15/16;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/16;8 5/8;;8 7/8;;9  3/16;;9  7/16;;9 11/16;;10 1/8;;;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;18    ;;19 1/4;;20 1/2;;21 3/4;;23 1/4;;24 3/4;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;19 5/8;;20 7/8;;22 1/8;;23 3/8;;24 7/8;;26 3/8;;;;;;;;;;;;;;;
G;LARGO ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;27  9/16;;28  1/16;;28  9/16;;29  1/16;;29  9/16;;29 13/16;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8      ;;8 1/4;;8 1/2;;8 3/4;;9    ;;9 1/4;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO DESDE HPS;;P;CRITICA;;;6 1/2;;7      ;;7 1/2;;8      ;;8 1/2;;9      ;;;;;;;;;;;;;;;
J;ANCHO DE HOMBROS DELANTERO;;P;CRITICA;  3/16;  3/16;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  1/4 ;;17      ;;17 3/8;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/16;7 11/16;;8      ;;8  5/16;;8  9/16;;8  7/8 ;;9  5/16;;;;;;;;;;;;;;;
L;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;26  5/8 ;;27 1/8;;27 5/8;;28 1/8;;28 5/8;;28 7/8;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/4 ;  1/4 ;8  7/16;;8 11/16;;8 15/16;;9  1/16;;9  5/16;;9 3/4;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;13 15/16;;14  7/16;;14 15/16;;15 11/16;;16  9/16;;17  5/16;;;;;;;;;;;;;;;
Ñ;ANCHO DE ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;13  5/16;;13 13/16;;14 3/8;;15  1/16;;15 13/16;;16  9/16;;;;;;;;;;;;;;;
O;ANCHO COLLARETA CUELLO;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;
P;LARGO COLLARETA CUELLO;;C;CRITICA;;;22      ;;23      ;;24      ;;25      ;;26      ;;27      ;;;;;;;;;;;;;;;
Q;ANCHO COLLARETA  V  DE ESCOTE;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1    ;;1    ;;;;;;;;;;;;;;;
R;LARGO COLLARETA V DE ESCOTE;;C;CRITICA;;;11  1/2 ;;12      ;;12  1/2 ;;13      ;;13  1/2 ;;14      ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;ROXANA GAMARRA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
