C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  1/8 ;;17  5/8 ;;18  1/8 ;;18  7/8 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;16  7/8 ;;17  3/8 ;;17  7/8 ;;18  3/8 ;;19  1/8 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  7/16;;6 15/16;;7  7/16;;7 15/16;;8 11/16;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9  1/4 ;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN SISA DELANTERO Y EPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  5/8 ;;19  5/8 ;;20  5/8 ;;21  5/8 ;;23  1/8 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;.375;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;24      ;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;;;;;;;;;;;;;;;;
LL;ANCHO DE MANGA  EN PUNTA ;;P;CRITICA;  3/8 ;  3/8 ;13  5/8 ;;14  3/8 ;;15  1/8 ;;16      ;;17  1/4 ;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA ;;P;CRITICA;  3/8 ;..25;8  3/16;;8  7/16;;8 11/16;;8 15/16;;9  3/16;;;;;;;;;;;;;;;;;
N;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;12  1/2 ;;13  3/8 ;;14  1/8 ;;14  7/8 ;;16      ;;;;;;;;;;;;;;;;;
Ñ;ANCHO CUELLO COLLARETA (DISPO) ;;C;CRITICA;;;24      ;;24  3/4 ;;25  1/2 ;;26  1/4 ;;27      ;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO COLLARETA (DISPO);;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1 5/8;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
P;ANCHO DE TAPETE ;;C;CRITICA;;;13  3/16;;13  9/16;;13 15/16;;14  5/16;;14 11/16;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;
5;ALTO DE BOLSILLO;;C;CRITICA;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;
6;ANCHO DE BOLSILLO;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
