FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  -  PRENDA LAVADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;11/09/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;STITCH FIX;;;;;;;;;ESTILO PROPIO 1:;;;;;;9877;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;
ESTILO CLIENTE:;;MGK10660;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.0%;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.5%;;;;
DIVISION:;;;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL-2XL-3XL;;;;;;;;LARG.DE MANGA;;;;1.0%;;;;
TIPO MUESTRA:;;PILOTO PROGRAMA 50;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  1/4 ;;24  3/8 ;;25  3/8 ;;26  1/8 ;;27  1/8 ;;27  7/8 ;;28  7/8 ;;29  5/8 ;;;;;;;;;;;;;;
B;ANCHO DE PECHO EN SISA DELANTERO;;P;CRITICA;  5/16;  5/16;20  7/8 ;;21  7/8 ;;22  7/8 ;;24  3/8 ;;25  7/8 ;;29  3/8 ;;31  7/8 ;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO;;P;CRITICA;  5/16;  5/16;20  1/4 ;;21  1/2 ;;22  1/2 ;;24      ;;25  1/2 ;;29      ;;31  1/2 ;;;;;;;;;;;;;;
D;SISA RANGLA DELANTERO;;P;CRITICA;;;10  7/8 ;;11  3/8 ;;11  7/8 ;;12  3/4 ;;13  3/8 ;;15  1/8 ;;16  3/8 ;;;;;;;;;;;;;;
E;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;5  1/8 ;;5  1/2 ;;5  1/2 ;;5  3/4 ;;5  3/4 ;;6  3/8 ;;6  5/8 ;;;;;;;;;;;;;;
F;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;1  1/4 ;;1  3/8 ;;1 3/8;;1 3/8;;1 3/8;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;
G;LARGO DE ESPALDA;;P;CRITICA;  1/4 ;;26  3/8 ;;27  3/8 ;;28  3/8 ;;29  3/8 ;;30  1/4 ;;31  1/8 ;;32      ;;;;;;;;;;;;;;
H;ANCHO DE PECHO EN ESPALDA;;P;CRITICA;  5/16;  5/16;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  5/8 ;;25  1/8 ;;26  5/8 ;;31  1/8 ;;;;;;;;;;;;;;
I;ANCHO FALDON ESPALDA;;P;CRITICA;  5/16;  5/16;19  1/2 ;;20  3/4 ;;21  3/4 ;;23  1/4 ;;24  3/4 ;;28  1/4 ;;30  3/4 ;;;;;;;;;;;;;;
J;SISA RANGLA ESPALDA;;P;CRITICA;;;12  5/8 ;;13  1/4 ;;13  7/8 ;;14  3/4 ;;15  5/8 ;;17  3/8 ;;18  3/4 ;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;3  1/8 ;;3  1/8 ;;3  1/4 ;;3  1/2 ;;3  1/4 ;;3  3/4 ;;3  5/8 ;;;;;;;;;;;;;;
L;LARGO DE MANGA;;P;CRITICA;  1/4 ;;31      ;;32  1/4 ;;33  1/2 ;;34  3/8 ;;35  3/8 ;;35  3/4 ;;35  5/8 ;;;;;;;;;;;;;;
M;ANCHO DE BICEP MANGA;;P;CRITICA;  5/16;  5/16;15  1/4 ;;16  1/4 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;21  3/8 ;;22  3/4 ;;;;;;;;;;;;;;
N;SISA RANGLA EN MANGA ESPALDA;;P;CRITICA;;;12  3/4 ;;13  1/4 ;;14      ;;14  7/8 ;;15  7/8 ;;17  3/8 ;;18  3/4 ;;;;;;;;;;;;;;
O;SISA RANGLA EN MANGA DELANTERO;;P;CRITICA;  5/16;  5/16;10  5/8 ;;11  1/8 ;;11  3/4 ;;12  5/8 ;;13  3/8 ;;14  3/4 ;;15  7/8 ;;;;;;;;;;;;;;
P;ABERTURA SUPERIOR DE MANGA;;P;CRITICA;;;4  3/8 ;;4  3/8 ;;4  7/8 ;;4  7/8 ;;5  5/16;;5  3/8 ;;5  7/8 ;;;;;;;;;;;;;;
Q;ABERTURA DE BOCA DE MANGA;;P;CRITICA;  5/16;  5/16;7  7/8 ;;8  5/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;
R;LARGO DE COLLARETA MANGA;;C;CRITICA;;;11  1/2 ;;12  1/4 ;;13      ;;13  1/2 ;;14      ;;14  3/4 ;;15  1/2 ;;;;;;;;;;;;;;
S;ALTO COLLARETA MANGA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;
T;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;24  1/2 ;;25  1/4 ;;26      ;;26  3/4 ;;27  1/2 ;;28  3/4 ;;30      ;;;;;;;;;;;;;;
U;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;
V;LARGO DE COLLARETA FALDON;;C;CRITICA;;;42  1/2 ;;45      ;;47      ;;50      ;;53      ;;60      ;;65      ;;;;;;;;;;;;;;
W;ALTO DE COLLARETA FALDON;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
