D;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;7  1/16;;7  9/16;;8  1/16;;8  9/16;;9  3/8 ;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;38  3/8 ;;38  7/8 ;;39  3/8 ;;39  7/8 ;;40  3/8 ;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO  ESPALDA(MITAD);;P;CRITICA;  5/16;  3/8 ;8 15/16;;9  7/16;;9 15/16;;10  7/16;;11  3/16;;;;;;;;;;;;;;;;;
F1;ANCHO DE PECHO DELANTERO;;P;CRITICA;;;17  3/16;;18  3/16;;19  3/16;;20  3/16;;21 11/16;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA(MITAD);;P;CRITICA;  5/16;  3/8 ;10  7/8 ;;11  3/8 ;;11  7/8 ;;12  3/8 ;;13  1/8 ;;;;;;;;;;;;;;;;;
G1;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;21  1/16;;22  1/16;;23  1/16;;24  1/16;;25  9/16;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8  5/16;;8  9/16;;8 13/16;;9  1/16;;9  5/16;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;6  7/8 ;;7      ;;7  1/8 ;;7  1/4 ;;7  3/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;;;12  1/4 ;;12  3/4 ;;13  1/4 ;;13  3/4 ;;14  1/2 ;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICA;  5/16;  3/8 ;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;9      ;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;37  7/8 ;;38  3/8 ;;38  7/8 ;;39  3/8 ;;39  7/8 ;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA(MITAD);;P;CRITICA;  3/8 ;  3/8 ;4 11/16;;4 13/16;;4 15/16;;5  1/16;;5  5/16;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;11 11/16;;12  3/16;;12 11/16;;13  3/16;;13 15/16;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;37  7/16;;38  3/16;;38 15/16;;39 11/16;;40  7/16;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA SISA;;C;CRITICA;;;21  7/16;;22  1/2 ;;23  9/16;;24  5/8 ;;26  3/8 ;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA SISA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;
V;ANCHO DE PIEZA ESPALDA (CENTRO);;C;CRITICA;;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;9  5/8 ;;;;;;;;;;;;;;;;;
W;ALTO DE PIEZA ESPALDA;;C;CRITICA;;;7  5/8 ;;7  5/8 ;;7  5/8 ;;7  5/8 ;;7  5/8 ;;;;;;;;;;;;;;;;;
X;ANCHO DE PIEZA ESPALDA (COSTURA) ;;C;CRITICA;;;4  5/8 ;;4  7/8 ;;5  1/8 ;;5  3/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;
5;UBICACIÓN DE CINTURA ESPALDA;;P;CRITICA;;;15  1/2 ;;16      ;;16  1/2 ;;17      ;;17  1/2 ;;;;;;;;;;;;;;;;;
A1;ANCHO DE CINTURA ESPALDA(MITAD);;P;CRITICA;  5/16;  3/8 ;9  7/16;;9 15/16;;10  7/16;;10 15/16;;11 11/16;;;;;;;;;;;;;;;;;
6;UBICACIÓN DE CADERA  ESPALDA;;P;CRITICA;;;19  1/2 ;;20      ;;20  1/2 ;;21      ;;22      ;;;;;;;;;;;;;;;;;
B1;ANCHO DE CADERA  ESPALDA(MITAD);;P;CRITICA;  5/16;  3/8 ;9 15/16;;10  7/16;;10 15/16;;11  7/16;;12  3/16;;;;;;;;;;;;;;;;;
7;UBICACIÓN BAJO  CADERA ESPALDA;;P;CRITICA;;;23  1/2 ;;24      ;;24  1/2 ;;25      ;;25  1/2 ;;;;;;;;;;;;;;;;;
C1;ANCHO DE BAJO CADERA ESPALDA(MITAD);;P;CRITICA;  5/16;  3/8 ;10  7/16;;10 15/16;;11  7/16;;11 15/16;;12 11/16;;;;;;;;;;;;;;;;;
8;UBICACIÓN DE CINTURA DELANTERA;;P;CRITICA;;;15  1/8 ;;15  5/8 ;;16  1/8 ;;16  5/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;
D1;ANCHO DE CINTURA DELANTERA;;P;CRITICA;  3/8 ;  3/8 ;18  1/4 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;
9;UBICACIÓN DE CADERA DELANTERA;;P;CRITICA;;;19  1/8 ;;19  5/8 ;;20  1/8 ;;20  5/8 ;;21  1/8 ;;;;;;;;;;;;;;;;;
E1;ANCHO DE CADERA DELANTERA;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;
10;UBICACIÓN DE BAJO CADERA DELANTERA;;P;CRITICA;;;23  1/8 ;;23  5/8 ;;24  1/8 ;;24  5/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;
F1;ANCHO DE BAJO CADERA DELANTERA;;P;CRITICA;  3/8 ;  3/8 ;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  1/4 ;;24  3/4 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
