FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;17/02/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;01778-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;TH6710;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.5%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;FW23;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;2-3-4-5-6-7-8-9-10-11;;;;;;;;LARG.DE MANGA;;;;2.5%;;;
TIPO MUESTRA:;;PRODUCCIÓN PRG. 015-016-017;;;;;;;;;MEDIDA :;;;;;;CENTIMETROS;;;;RICHARD;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;0.30;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.50;;;
;;;;;;;; ;;         ;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.50;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.70;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;17.9;;18.4;;18.9;;19.4;;19.9;;20.4;;20.9;;21.4;;21.9;;22.5;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.3;;3.4;;3.5;;3.6;;3.7;;3.8;;4.0;;4.2;;4.4;;4.5;;;;;;;
