C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;21  3/8 ;;22  7/8 ;;24  3/8 ;;26  3/8 ;;28  3/8 ;;30  3/8 ;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;16  7/8 ;;17  7/8 ;;18  7/8 ;;19  7/8 ;;20  7/8 ;;21  7/8 ;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  3/8 ;  3/8 ;8  1/16;;8  1/4 ;;8  1/2 ;;8 13/16;;9  3/16;;9  1/2 ;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/4 ;;5  5/8 ;;6      ;;6  3/8 ;;6  3/4 ;;7  1/8 ;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  5/16;;3  9/16;;3 11/16;;3 15/16;;4  1/16;;4  5/16;;;;;;;;;;;;;;;
I;"ANCHO DE MEDIO PECHO A 7"" DESDE HPS";;P;CRITICA;  7/16;  7/16;15  1/4 ;;16  1/4 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  1/4 ;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;30  5/8 ;;31  1/8 ;;31  5/8 ;;32  5/8 ;;33  5/8 ;;34  5/8 ;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  7/16;  7/16;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;22  3/4 ;;;;;;;;;;;;;;;
L;"ANCHO DE MEDIO ESPALDA A 7  7/8"" DESDE HPS";;P;CRITICA;  7/16;  7/16;15 13/16;;16 13/16;;17 13/16;;18 13/16;;19 13/16;;20 13/16;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  7/16;8 15/16;;9  1/8 ;;9  3/8 ;;9  5/8 ;;9 15/16;;10  1/4 ;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  1/16;;6  7/16;;6  3/4 ;;7  1/8 ;;7  1/2 ;;7  7/8 ;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/16;;1  5/16;;1  1/2 ;;1  1/2 ;;1  9/16;;1 11/16;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  7/8 ;;10  1/8 ;;10  3/8 ;;10  5/8 ;;10  7/8 ;;11  1/8 ;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;16  3/16;;16  3/4 ;;17  5/16;;18  5/16;;19  5/16;;20  5/16;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;13      ;;14      ;;15      ;;16      ;;17      ;;18      ;;;;;;;;;;;;;;;
S;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
T;LARGO DE PUÑO RECTILINEO;;C;CRITICA;;;12      ;;13      ;;14      ;;15      ;;16      ;;17      ;;;;;;;;;;;;;;;
W;LARGO DE PECHERA ;;C;CRITICA;;;8      ;;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;
Y;ABERTURA LATERAL ESPALDA;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;5  1/4 ;;;;;;;;;;;;;;;
Z;ABERTURA LATERAL DELANTERO;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;5  1/4 ;;;;;;;;;;;;;;;
A1;LARGO DE CUELLO RECTILINEO ;;C;CRITICA;;;13  7/8 ;;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;;;;;;;;;;;;;;
A2;ALTO DE CUELLO RECTILINEO ;;C;CRITICA;;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;;;;;;;;;;;;;;
A3;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;23  1/2 ;;;;;;;;;;;;;;;
A4;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;
A5;LARGO DE BANDA INTERIOR;;C;CRITICA;;;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;23  1/2 ;;;;;;;;;;;;;;;
A6;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;
;MEDIDAS ADICIONALES PARA DELANTEROS CON TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE TAJO DELANTERO;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;
V;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;
W1;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;8      ;;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;
X1;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;
