FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  -  PRENDA LAVADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;11/09/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;STITCH FIX;;;;;;;;;ESTILO PROPIO 1:;;;;;;9878;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;
ESTILO CLIENTE:;;MGK10661;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.0%;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.5%;;;;
DIVISION:;;;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL-2XL-3XL;;;;;;;;LARG.DE MANGA;;;;1.0%;;;;
TIPO MUESTRA:;;PILOTO PROGRAMA 50;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  1/4 ;;24  3/8 ;;25  3/8 ;;26      ;;27      ;;27  7/8 ;;28  7/8 ;;29  1/2 ;;;;;;;;;;;;;;
B;ANCHO DE PECHO EN SISA DELANTERO;;P;CRITICA;  5/16;  5/16;20  7/8 ;;21  7/8 ;;22  7/8 ;;24  3/8 ;;25  7/8 ;;29  9/16;;31  7/8 ;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO;;P;CRITICA;  5/16;  5/16;20  1/4 ;;21  1/2 ;;22  1/2 ;;24      ;;25  1/2 ;;29      ;;31  1/2 ;;;;;;;;;;;;;;
D;SISA RANGLA DELANTERO;;P;CRITICA;;;10  7/8 ;;11  1/2 ;;12      ;;12  7/8 ;;13  1/2 ;;15  3/16;;16  9/16;;;;;;;;;;;;;;
E;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;5      ;;5  3/8 ;;5  3/8 ;;5  5/8 ;;5  5/8 ;;6  3/8 ;;6  5/8 ;;;;;;;;;;;;;;
F;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;1  5/8 ;;1  3/4 ;;1  5/8;;1  3/4;;1  3/4;;1  7/8;;1  7/8;;;;;;;;;;;;;;
F1;LARGO DE TAJO;;P;CRITICA;;;4  1/4 ;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5      ;;5      ;;;;;;;;;;;;;;
G;LARGO DE ESPALDA;;P;CRITICA;  1/4 ;;26  1/2 ;;27  9/16;;28  1/4 ;;29  1/4 ;;30  1/4 ;;31  1/4 ;;32  1/8 ;;;;;;;;;;;;;;
H;ANCHO DE PECHO EN ESPALDA;;P;CRITICA;  5/16;  5/16;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  5/8 ;;25  1/8 ;;28  5/8 ;;31  1/8 ;;;;;;;;;;;;;;
I;ANCHO FALDON ESPALDA;;P;CRITICA;  5/16;  5/16;19  1/2 ;;20  3/4 ;;21  3/4 ;;23  1/4 ;;24  3/4 ;;28  1/4 ;;30  3/4 ;;;;;;;;;;;;;;
J;SISA RANGLA ESPALDA;;P;CRITICA;;;12  3/4 ;;13  3/8 ;;14      ;;14  7/8 ;;15  7/8 ;;17  1/2 ;;18  7/8 ;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;2  7/8 ;;3  1/4 ;;3      ;;3  3/8 ;;3      ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;
L;LARGO DE MANGA;;P;CRITICA;  1/4 ;;31  1/4 ;;32  3/8 ;;33  3/4 ;;34  1/2 ;;35  5/8 ;;35  7/8 ;;35  7/8 ;;;;;;;;;;;;;;
M;ANCHO DE BICEP MANGA;;P;CRITICA;  5/16;  5/16;15  1/4 ;;16  1/4 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;21  3/8 ;;22  3/4 ;;;;;;;;;;;;;;
N;SISA RANGLA EN MANGA ESPALDA;;P;CRITICA;;;12  7/8 ;;13  3/8 ;;14  1/8 ;;15      ;;15  7/8 ;;17  1/2 ;;18  3/4 ;;;;;;;;;;;;;;
O;SISA RANGLA EN MANGA DELANTERO;;P;CRITICA;  5/16;  5/16;10  3/4 ;;11  1/4 ;;11  3/4 ;;12  3/4 ;;13  1/2 ;;14  7/8 ;;16      ;;;;;;;;;;;;;;
P;ABERTURA SUPERIOR DE MANGA;;P;CRITICA;;;4  1/4 ;;4  1/4 ;;4  5/8 ;;4  5/8 ;;5  1/8 ;;5  1/8 ;;5  3/4 ;;;;;;;;;;;;;;
Q;ABERTURA DE BOCA DE MANGA;;P;CRITICA;  5/16;  5/16;7  7/8 ;;8  5/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;
R;LARGO DE COLLARETA MANGA;;C;CRITICA;;;11  1/2 ;;12  1/4 ;;13      ;;13  1/2 ;;14      ;;14  3/4 ;;15  1/2 ;;;;;;;;;;;;;;
S;ALTO COLLARETA MANGA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;
T;LARGO DE COLLARETA MANGA;;C;CRITICA;;;31  7/8 ;;32  3/4 ;;33  1/2 ;;34  1/4 ;;34  7/8 ;;36  1/4 ;;37  3/8 ;;;;;;;;;;;;;;
U;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;;;;;;;;;;;;;
V;LARGO DE COLLARETA FALDON;;C;CRITICA;;;42  1/2 ;;45      ;;47      ;;50      ;;53      ;;60      ;;65      ;;;;;;;;;;;;;;
W;ALTO DE COLLARETA FALDON;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;
X;ANCHO PECHERA SUP;;C;CRITICA;;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;
Y;ALTO PECHERA SUP;;C;CRITICA;;;6  1/2 ;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;
Z;ANCHO PECHERA INF;;C;CRITICA;;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;
1;ALTO PECHERA INF;;C;CRITICA;;;6  1/2 ;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
