COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  3/4 ;;28  3/4 ;;29  3/4 ;;30  3/4 ;;31  3/4 ;;32  3/4 ;;33  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;28  3/4 ;;31  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;28      ;;30  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17      ;;17  3/4 ;;18  1/2 ;;19  1/2 ;;20  1/2 ;;22  1/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  3/16;;8  5/8 ;;9  3/4 ;;10  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5 15/16;;6  3/16;;6  7/16;;6  5/8 ;;6  7/8 ;;7  3/8 ;;7 13/16;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4 13/16;;4 15/16;;5  1/16;;5  3/16;;5  5/16;;5  9/16;;5 13/16;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16; 1/4;29  9/16;;30  9/16;;31  9/16;;32  9/16;;33  9/16;;34  9/16;;35  9/16;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;8  7/16;;8 15/16;;9  7/16;;9 13/16;;10  1/4 ;;11  1/4 ;;12      ;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  9/16;;19  5/16;;20  1/16;;21  1/16;;22  1/16;;23 13/16;;25  5/16;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  7/16;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 15/16;;9  7/16;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1 13/16;;1 13/16;;1 15/16;;1 15/16;;2  1/16;;2  1/16;;2  3/16;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;15  5/8 ;;16  5/8 ;;17  5/8 ;;18  5/8 ;;19  1/2 ;;21  5/8 ;;23  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;13  1/2 ;;14  7/16;;15  3/8 ;;16  3/8 ;;17  5/16;;19  1/16;;20  9/16;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  1/8 ;;9  3/4 ;;10  3/8 ;;10  7/8 ;;11  3/8 ;;11  3/4 ;;12  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO  DE CUELLO ;;C;CRITICA;;;19 11/16;;20  3/16;;20 13/16;;21  3/8 ;;21 15/16;;23  1/16;;24  3/16;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO  TAPETE ESPALDA;;C;CRITICA;;;13  3/4 ;;14      ;;14  1/4 ;;14  1/2 ;;14  7/8 ;;15  3/8 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPET E ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  3/8 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  3/4 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20  1/4 ;;21  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;9  3/16;;9  9/16;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  1/2 ;;16  1/4 ;;17      ;;18      ;;19      ;;20  3/4 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
5;ANCHO HOMBRO INDIVIDUAL;;P;CRITICA;;;6  1/16;;6  5/16;;6  1/2 ;;6 15/16;;7  5/16;;7 15/16;;8  7/16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
