FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE-PAÑOS LAVADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;26/07/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6/04/2023
CLIENTE: ;;JCREW;;;;;;;;;ESTILO PROPIO 1:   ;;;;01818-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;CON  LOS ULTIMO CAMBIO DE AMCHO DE HOMBRO Y ABERTURA
ESTILO CLIENTE: ;;191056;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;0.0%;;;
SILUETA:;;PLUS;;;;;;;;;TEMPORADA:;;;;;;;;LEANDRO SILVA-YOEL;;;;;;TRAVEZ;;;;0.5%;;;2.0%
DIVISION:;;WOMEN;;;;;;;;;TALLAS:  ;;;;2X-3X;;;;;;;ESPECIAL;;;;;;;;;;2.0%
TIPO MUESTRA: PRODUCCION ;;PRODUCCION;;;;;;;;;MEDIDA : ;;;;PULGADAS;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2X;;3X;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;28 3/8;;28 3/8;;;;;;;;;;;;;;;;;;;;;;;
