C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  5/16;  3/16;16  1/4 ;;16  3/4 ;;17  1/4 ;;17  3/4 ;;18  1/2 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  5/16;  3/16;16      ;;16  1/2 ;;17      ;;17  1/2 ;;18  1/4 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/16;7  3/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;9  5/8 ;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/16;8  1/16;;8  9/16;;9  1/8 ;;9  5/8 ;;10  3/8 ;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN SISA DELANTERO Y EPALDA;;P;CRITICA;  3/8 ;  3/16;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  5/8 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;3 /16;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  1/8 ;;24  5/8 ;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;  3/8 ;  3/16;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;3  7/8 ;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;9      ;;9  1/4 ;;9  1/2 ;;9  3/4 ;;10      ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  3/4 ;;9      ;;9  1/4 ;;9  1/2 ;;9  3/4 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1 11/16;;1 13/16;;1 15/16;;2  1/16;;2  3/16;;;;;;;;;;;;;;;;;
M;LARGO DE PZA SISA;;C;CRITICA;  3/8 ;  3/16;14  3/4 ;;15  7/8 ;;17  1/8 ;;18  1/4 ;;20      ;;;;;;;;;;;;;;;;;
N;ALTO DE PZA SISA;;C;CRITICA;  1/4 ;  1/4 ;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;
O;LARGO DE  CUELLO ;;C;CRITICA;  3/8 ;  3/16;18  1/4 ;;19      ;;20  3/4 ;;20  3/8 ;;21  1/8 ;;;;;;;;;;;;;;;;;
P;ALTO DE CUELLO ;;C;CRITICA;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;
Q;LARGO DE TAPETE ;;C;CRITICA;;;14  1/4 ;;14  5/8 ;;15      ;;15  3/8 ;;15  3/4 ;;;;;;;;;;;;;;;;;
R;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
