FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02490-P1;;;;;9806
FECHA DE GENERACION:;;23/02/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5%;;;;;
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;02552-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;1.5%;;28/08/2021;;;
ESTILO CLIENTE:;;AN14457;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.5%;;;;1.5%;;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;1.5%;;;;;;2.0%;;;
DIVISION:;;MISSY;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL;;;;;;;;;;LARG.DE MANGA;;;;1.5%;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;PULGADA;;;;YOEL;;;;;;;;;;;;;;9/07/2022;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBRO;;;;  1/8 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  1/8 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON Y MANGA;;;;  1/4 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;26  3/4 ;;27  1/4 ;;27  3/4 ;;28  1/4 ;;28  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;28  7/8 ;;29  7/8 ;;30  7/8 ;;31  7/8 ;;33  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;28      ;;29      ;;30      ;;31      ;;32  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;28 15/16;;29 15/16;;30 15/16;;31 15/16;;33  7/16;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;5 13/16;;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;9  1/8 ;;9  3/8 ;;9  5/8 ;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  1/8 ;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;27      ;;27  1/2 ;;28      ;;28  1/2 ;;29      ;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;5  3/16;;5  5/16;;5  7/16;;5  5/8 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA (DIAGONAL);;P;CRITICA;  3/8 ;  3/8 ;15  1/8 ;;15  5/8 ;;16  1/8 ;;16  9/16;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;6  3/8 ;;6 13/16;;7  1/4 ;;7 13/16;;8  5/16;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA (MITAD);;P;CRITICA;  3/8 ;  3/8 ;14 13/16;;15  5/16;;15 13/16;;16  5/16;;17  1/16;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA (MITAD);;P;CRITICA;;;14  3/8 ;;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
N;ALTO DE VENTZ DELANTERO ESPALDA;;P;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;17  3/8 ;;17  1/2 ;;17  5/8 ;;17  3/4 ;;17  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE MANGA BICEP;;P;CRITICA;  3/8 ;  3/8 ;11 13/16;;12 13/16;;13  3/4 ;;14  1/2 ;;15  5/16;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7  9/16;;8  1/8 ;;8  5/8 ;;9  1/8 ;;9 11/16;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO (DISP);;C;CRITICA;;;27  3/16;;27 15/16;;28  3/4 ;;29  7/16;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA CUELLO (DISP);;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE CUELLO;;C;CRITICA;;;14  7/8 ;;15  1/4 ;;15  5/8 ;;16      ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
