FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  -  PRENDA LAVADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;15/08/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;01204-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;528766;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.0%;;;
SILUETA:;;BIG;;;;;;;;;TEMPORADA:;;;;;;SS'22;;;;;;;;TRAVEZ;;;;5.0%;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;2XL-3XL-4XL;;;;;;;;LARG.DE MANGA;;;;3.0%;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2XL;;3XL;;4XL;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8  7/8 ;;9  1/4 ;;9  5/8 ;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1 15/16;;1 15/16;;2  1/16;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;22  3/4 ;;23  3/4 ;;24  1/2 ;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  7/16;  1/2 ;9  3/8 ;;10      ;;10 11/16;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;29  1/16;;31  1/16;;33  1/16;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;31  5/16;;33  5/16;;35  5/16;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICA;  7/16;  1/4 ;35  3/4 ;;36  1/4 ;;36  3/4 ;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;8      ;;8  5/16;;8 11/16;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;4  3/16;;4  7/16;;4  9/16;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;21  3/4 ;;22  3/4 ;;23  1/2 ;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  7/16;  1/2 ;8 11/16;;9  5/16;;10      ;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  7/16;  1/4 ;34  3/4 ;;35  1/4 ;;35  3/4 ;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE TAJO;;P;CRITICA;;;5  7/8 ;;5  7/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE TAJO;;P;CRITICA;;;  1/2 ;;  1/2 ;;  1/2 ;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;11  3/37;;12  1/16;;12  5/16;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;20  1/2 ;;21  1/2 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;17  9/16;;18  5/8 ;;19  3/4 ;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE CUELLO ;;C;CRITICA;;;19  3/4 ;;20 11/16;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE CUELLO ;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE ;;C;CRITICA;;;14  3/4 ;;15  1/8 ;;15  9/16;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
V;LARGO DE PECHERA SUP. E INF. EN CENTRO;;C;CRITICA;;;8  3/4 ;;8  3/4 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE PECHERA SUP. E INF. ;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE VENZ DELANTERO-ESPALDA;;P;CRITICA;;;4  3/16;;4  3/16;;4  3/16;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
