C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/16;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  1/4 ;;17      ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/16;14  9/16;;15  1/16;;15  9/16;;16  1/16;;16 13/16;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/16;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  3/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  3/16;7      ;;7  1/2 ;;8  1/16;;8  9/16;;9  1/4 ;;;;;;;;;;;;;;;;;
G;ANCHO PECHO DELANTERO Y ESPALDA EN SISA ;;P;CRITICA;  3/8 ;  3/16;18  1/16;;19  1/16;;20  1/16;;21  1/16;;22  9/16;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/16;18  7/16;;19  7/16;;20  7/16;;21  7/16;;22 15/16;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;;;6  1/2 ;;6  5/8 ;;6  3/4 ;;6  7/8 ;;7      ;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;9  5/8 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  7/16;;8  9/16;;8 13/16;;9  1/16;;9  1/4 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESP ;;P;CRITICA;  1/4 ;  3/16;1  3/16;;1  5/16;;1  7/16;;1  9/16;;1 11/16;;;;;;;;;;;;;;;;;
LL;ANCHO DE MANGA  EN PUNTA ;;P;CRITICA;  3/8 ;  3/16;14  1/8 ;;14  7/8 ;;15  5/8 ;;16  7/16;;18      ;;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA ;;P;CRITICA;;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  3/16;;;;;;;;;;;;;;;;;
N;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/16;11  3/4 ;;12  9/16;;13  7/16;;14  3/16;;15  7/16;;;;;;;;;;;;;;;;;
Ñ;LARGO DE  CUELLO ;;C;CRITICA;;;23  1/4 ;;24      ;;24  3/4 ;;25  1/2 ;;26  1/4 ;;;;;;;;;;;;;;;;;
O;ALTO DE  CUELLO ;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
P;LARGO DE TAPETE DE HOMBRO;;C;CRITICA;;;20      ;;20  3/4 ;;21  1/2 ;;22  1/4 ;;23      ;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE DE HOMBRO;;C;CRITICA;;;7/8;;7/8;;7/8;;7/8;;7/8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Observacion :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tener en cuenta que el costado lateral delantero es;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1/4 mas grande que la espalda.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
