C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;12  7/16;;12 15/16;;13  7/16;;14  1/16;;14  3/4 ;;15  1/8 ;;;;;;;;;;;;;;;
X;ANCHO DE HOMBRO INDIVIDUAL DELANTERO -ESPALDA;;P;CRITICA;;;2  3/4 ;;2  7/8 ;;3      ;;3  3/16;;3  3/8 ;;3  1/2 ;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;7  1/2 ;;8      ;;8  1/2 ;;9      ;;9  1/2 ;;9  3/4 ;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  5/8 ;;26  1/8 ;;26  5/8 ;;27  1/4 ;;27  7/8 ;;28  1/4 ;;;;;;;;;;;;;;;
F;ANCHO DE PECHO  ESPALDA-DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17  3/8 ;;18  3/8 ;;19  3/8 ;;20  5/8 ;;22  3/8 ;;23  3/8 ;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA-DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19      ;;20      ;;21      ;;22  1/4 ;;24      ;;25      ;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6 15/16;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/8 ;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  7/16;;3 11/16;;3  3/4 ;;3 15/16;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  1/4 ;  1/4 ;12      ;;12  1/2 ;;13      ;;13  5/8 ;;14  3/8 ;;14  3/4 ;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICA;  5/16;  3/8 ;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  5/16;;8  7/8 ;;9  3/16;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;24  7/8 ;;25  3/8 ;;25  7/8 ;;26  1/2 ;;27  1/8 ;;27  1/2 ;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN CENTRO;;C;CRITICA;;;17  3/16;;18      ;;18  9/16;;19  1/8 ;;20      ;;20  3/8 ;;;;;;;;;;;;;;;
7;ANCHO DE CUELLO EN BORDE;;C;CRITICA;;;17 11/16;;18  1/2 ;;19  1/8 ;;19 11/16;;20  1/2 ;;20  7/8 ;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;6  3/8 ;;6  3/8 ;;6  3/8 ;;6  3/8 ;;6  3/8 ;;6  3/8 ;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;12  9/16;;13  1/16;;13  9/16;;14  3/16;;14 15/16;;15  5/16;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;12  1/4 ;;12  3/4 ;;13  1/4 ;;13  7/8 ;;14  5/8 ;;15      ;;;;;;;;;;;;;;;
5;LARGO DE TAPETE;;C;CRITICA;;;13  1/4 ;;13  1/2 ;;13  3/4 ;;14      ;;14  5/16;;14  1/2 ;;;;;;;;;;;;;;;
6;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
8;LARGO DE SISA EN BORDE;;C;CRITICA;;;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;19  1/8 ;;19  7/8 ;;;;;;;;;;;;;;;
9;LARGO DE SISA EN CENTRO;;C;CRITICA;;;14  3/8 ;;15  3/8 ;;16  3/8 ;;17  3/8 ;;18  5/8 ;;19  3/8 ;;;;;;;;;;;;;;;
10;ALTO DE SISA;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;
