FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:11/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE: ;;AMAZON;;;;;;;;;ESTILO PROPIO 1:;;;;;;8396;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE: ;;SYDNEY;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.0%;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;1.0%;;;
DIVISION:;;;;;;;;;;;TALLAS: ;;;;;; 2X-3X;;;;;;;;LARGO DE MANGA ;;;;0.0%;;;
TIPO MUESTRA:PRODUCCION ;;;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA ;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADOS DE COSTADO;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2X;;3X;;;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;11  3/4 ;;12  5/16;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;11      ;;11  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA ;;P;CRITICA;  3/8 ;  1/4 ;25  1/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;15      ;;16      ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;13  7/8 ;;14  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO  DELANTERO;;P;CRITICA;;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4  1/4 ;;4  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;22  3/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;10  3/8 ;;11      ;;;;;;;;;;;;;;;;;;;;;;;
X;ANCGHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;29  1/2 ;;31  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  3/8 ;  1/4 ;25      ;;25  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;27  5/16;;29  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;11  3/4 ;;12      ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEP;;P;CRITICA;  3/8 ;  3/8 ;21  1/8 ;;22  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA MANGA ;;P;CRITICA;  3/8 ;  3/8 ;19  5/8 ;;20  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO EN BORDE;;C;CRITICA;;;18  7/8 ;;19  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;3  1/16;;3  1/16;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE;;C;CRITICA;;;14      ;;14      ;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA ;;P;CRITICA;;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;10  7/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;7  3/8 ;;7  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO  PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;21  3/8 ;;22  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
