COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  7/16;  1/4 ;27  7/8 ;;28  7/8 ;;29  7/8 ;;30  7/8 ;;31  7/8 ;;32  7/8 ;;33  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;28  3/4 ;;31  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;28      ;;30  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;17      ;;17  3/4 ;;18  1/2 ;;19  1/2 ;;20  1/2 ;;22  1/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  9/16;;7  1/8 ;;7 11/16;;8  1/16;;8  1/2 ;;9  5/8 ;;10  7/16;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  3/16;;6  7/16;;6 11/16;;6  7/8 ;;7  1/8 ;;7  5/8 ;;8  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;4      ;;4  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  7/16; 1/4;29 13/16;;30 13/16;;31 13/16;;32 13/16;;33 13/16;;34 13/16;;35 13/16;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;8  1/2 ;;9  1/16;;9  9/16;;9 15/16;;10  3/8 ;;11  7/16;;12  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;18 13/16;;19  9/16;;20  5/16;;21  5/16;;22  5/16;;24  1/16;;25  9/16;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7 13/16;;8  1/16;;8  5/16;;8  9/16;;8  3/4 ;;9  1/4 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;2      ;;2      ;;2  1/8 ;;2  1/8 ;;2  1/4 ;;2  1/4 ;;2  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;15  9/16;;16  9/16;;17  9/16;;18  7/16;;19  7/16;;21  7/16;;22 15/16;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;13  1/16;;14  3/16;;15  1/4 ;;16  5/16;;17  3/8 ;;18  3/4 ;;20  3/16;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;9  5/16;;9 15/16;;10  9/16;;11  1/16;;11  9/16;;12  1/16;;12  9/16;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO  DE CUELLO ;;C;CRITICA;;;17  1/2 ;;18  1/16;;18  3/4 ;;19  5/16;;19 15/16;;21  1/16;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO  TAPETE ESPALDA;;C;CRITICA;;;13  7/8 ;;14  1/8 ;;14  7/16;;14 11/16;;15      ;;15  1/2 ;;16  1/16;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPET E ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7  7/8 ;;8  3/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  3/8 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;15  1/4 ;;16      ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;20  1/2 ;;22      ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  3/8 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;15  3/4 ;;16  1/2 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;21      ;;22  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
5;ANCHO HOMBRO INDIVIDUAL;;P;CRITICA;;;5 15/16;;6  3/16;;6  7/16;;6 13/16;;7  1/4 ;;7  7/8 ;;8  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
