FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;2/12/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BASE PRODUCCION = EN MEDIDA;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;AJUSTE DE MOLDE PARA DISMINUIR CONSUMO;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;11258;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;11229;;;
ESTILO CLIENTE:;;527925;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;6.5%;;;;;;;;;
SILUETA:;;TALL;;;;;;;;;TEMPORADA:;;;;;;SS'22;;;;;;;;TRAVEZ;;;;5.5%;;;;;;527933;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;6.5%;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA # 176;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0%
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;6.0%
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;;;8.0%
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
