C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  5/16;  3/16;15      ;;15  1/2 ;;16      ;;16  1/2 ;;17  1/4 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  5/16;  3/16;15  3/8 ;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  5/8 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/16;6  5/8 ;;7  1/8 ;;7  5/8 ;;8  1/16;;8  7/8 ;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/16;7  1/16;;7  9/16;;8  1/16;;8  1/2 ;;9  5/16;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN SISA DELANTERO Y EPALDA;;P;CRITICA;  3/8 ;  3/16;18      ;;19      ;;20      ;;21      ;;22  1/2 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;3 /16;18  3/8 ;;19  3/8 ;;20  3/8 ;;21  3/8 ;;22  7/8 ;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;  3/8 ;  3/16;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  3/4 ;;3  7/8 ;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/16;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESP ;;P;CRITICA;;;1  5/16;;1  7/16;;1  9/16;;1 11/16;;1 13/16;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA  EN SISA;;P;CRITICA;  3/8 ;  3/16;12 15/16;;13  7/8 ;;14 11/16;;15 11/16;;17  1/16;;;;;;;;;;;;;;;;;
N;LARGO DE MANGA ;;P;CRITICA;  1/4 ;  1/4 ;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/16;12      ;;12  7/8 ;;13 11/16;;14  1/2 ;;15  9/16;;;;;;;;;;;;;;;;;
P;LARGO DE  CUELLO COLLARETA (DISPO) ;;C;CRITICA;;;22  3/4 ;;23  1/2 ;;24  1/4 ;;25      ;;25  3/4 ;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO COLLARETA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE ESCOTE;;C;CRITICA;;;12  3/8 ;;12  3/4 ;;13  1/8 ;;13  1/2 ;;13  7/8 ;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  3/8 ;;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  5/8 ;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  1/4 ;;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  1/2 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;8      ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
