A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;29      ;;19  3/4 ;;30  1/2 ;;31  1/4 ;;32      ;;32  3/4 ;;33  1/2 ;;;;;;;;;;;;;;;;;
B;LARGO DE CUERPO  ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;30  1/4 ;;31      ;;31  3/4 ;;32  1/2 ;;33  1/4 ;;34      ;;34  3/4 ;;;;;;;;;;;;;;;;;
C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/16;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21      ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/16;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;21      ;;21  3/4 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/16;7  1/2 ;;8      ;;8  1/2 ;;9      ;;9  1/2 ;;10  1/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  3/16;8  3/8 ;;8  7/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA ;;P;CRITICA;  3/8 ;  3/16;18  1/4 ;;19  3/4 ;;21  1/4 ;;22  3/4 ;;24  1/4 ;;25  1/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO;;P;CRITICA;  3/8 ;3 /16;17 13/16;;19 13/16;;20 13/16;;22  5/16;;23 13/16;;24 13/16;;25 13/16;;;;;;;;;;;;;;;;;
H1;ANCHO DE FALDON   ESPALDA ;;P;CRITICA;  3/8 ;3 /16;17 13/16;;19 13/16;;20 13/16;;22  5/16;;23 13/16;;24 13/16;;25 13/16;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;;;2  3/8 ;;2  9/16;;2  7/8 ;;3  1/8 ;;3  3/8 ;;3  5/8 ;;3  7/8 ;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESPALDA ;;P;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
LL;ANCHO DE MANGA  EN PUNTA ;;P;CRITICA;  3/8 ;  3/16;13  7/8 ;;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;19  7/8 ;;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA ;;P;CRITICA;  1/4 ;  1/4 ;26  3/8 ;;27      ;;27  5/8 ;;28  1/4 ;;28  7/8 ;;29  1/2 ;;30  1/8 ;;;;;;;;;;;;;;;;;
N;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/16;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  1/2 ;;;;;;;;;;;;;;;;;
Ñ;LARGO DE  CUELLO ;;C;CRITICA;;;14  3/8 ;;15  3/16;;16      ;;16 13/16;;17  5/8 ;;18  7/16;;19  1/4 ;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;;;;
P;LARGO DE TAPETE ;;C;CRITICA;;;12  9/16;;12 13/16;;13  1/16;;13  5/16;;13  9/16;;13 13/16;;14  1/16;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
