FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;18/05/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BASE PRODUCCION = EN MEDIDA;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;11239;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;11229;;
ESTILO CLIENTE:;;527936;;;;;;;;;ESTILO PROPIO 2:;;;;;;11237;;;;;;;;HILO;;;;5.0%;;;;;;;;
SILUETA:;;TALL;;;;;;;;;TEMPORADA:;;;;;;SS'22;;;;;;;;TRAVEZ;;;;9.0%;;;;;;527933;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;M-L-XL-XXL;;;;MAGALY;;;;LARG.DE MANGA;;;;5.0%;;;;;;;;
TIPO MUESTRA:;;;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/10/2021;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;LANDS END;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;527936;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;TALL;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;MENS;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;PRODUCCION PROGRAMA # 194;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);M;;;;L;;;;XL;;;;XXL;;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;5 15/16;;;;6  5/16;;;;6 11/16;;;;7      ;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3 11/16;;;;3  7/8 ;;;;4      ;;;;4  1/4 ;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;20  1/8 ;;;;21  1/8 ;;;;22  1/8 ;;;;23  1/8 ;;;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;24  7/16;;;;26  7/16;;;;28  7/16;;;;30  7/16;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;8  9/16;;;;8 13/16;;;;9      ;;;;9  5/16;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;24  3/16;;;;26  3/16;;;;28  3/16;;;;30  3/16;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;34  1/8 ;;;;35  1/8 ;;;;36  1/8 ;;;;37  1/8 ;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;6  5/8 ;;;;7      ;;;;7  3/8 ;;;;7  3/4 ;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  5/16;;;;1  5/16;;;;1  7/16;;;;1  9/16;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;20  3/4 ;;;;21  3/4 ;;;;22  3/4 ;;;;23  3/4 ;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;9      ;;;;9  3/16;;;;9  7/16;;;;9 11/16;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;34  5/8 ;;;;35  5/8 ;;;;36  5/8 ;;;;37  5/8 ;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;11  1/2 ;;;;11  3/4 ;;;;12      ;;;;12  1/4 ;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;;;19      ;;;;20      ;;;;21      ;;;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;15  5/16;;;;16  5/16;;;;17  3/8 ;;;;18  7/16;;;;;;;;;;;;;;;;;;
1;LARGO DE TAJO;;P;CRITICA;  7/16;  1/2 ;5  9/16;;;;5  9/16;;;;5  9/16;;;;5  9/16;;;;;;;;;;;;;;;;;;
2;ANCHO DE TAJO;;P;CRITICA;  7/16;  1/4 ;1  1/16;;;;1  1/16;;;;1  1/16;;;;1  1/16;;;;;;;;;;;;;;;;;;
P;LARGO DE PECHERA;;C;CRITICA;;;8  9/16;;;;8  9/16;;;;8  9/16;;;;8  9/16;;;;;;;;;;;;;;;;;;
Q;ANCHO DE PECHERA;;C;CRITICA;;;3 13/16;;;;3 13/16;;;;3 13/16;;;;3 13/16;;;;;;;;;;;;;;;;;;
U;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;;;10      ;;;;10      ;;;;11      ;;;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;19  1/4 ;;;;20  1/4 ;;;;21  1/4 ;;;;22  1/4 ;;;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;22  7/8 ;;;;23  7/8 ;;;;24  3/4 ;;;;25  3/4 ;;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;;;;;;;;;;;;;;;
5;LARGO DE PUÑO RECTILINEO;;C;CRITICA;  1/4 ;  3/8 ;14  1/2 ;;;;15  1/2 ;;;;16  1/2 ;;;;17  1/2 ;;;;;;;;;;;;;;;;;;
6;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;1  3/16;;;;;;;;;;;;;;;;;;
7;LARGO DE CUELLO ;;C;CRITICA;;;16  3/4 ;;;;17  3/4 ;;;;18  3/4 ;;;;19  3/4 ;;;;;;;;;;;;;;;;;;
8;ALTO DE CUELLO EN 1/2 CENTRO;;C;CRITICA;  1/4 ;  1/4 ;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;3  1/2 ;;;;;;;;;;;;;;;;;;
9;ALTO DE PUNTA DE CUELLO;;C;CRITICA;  1/4 ;  1/4 ;3      ;;;;3      ;;;;3      ;;;;3      ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
