C;ANCHO DE CINTURA DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  1/2 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20      ;;;;;;;;;;;;;;;;;
D;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  1/2 ;;18  1/2 ;;19  1/2 ;;20  1/2 ;;22      ;;;;;;;;;;;;;;;;;
E;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;14  3/8 ;;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  5/8 ;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8.7/8;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5      ;;5  1/8 ;;5  1/4 ;;5  3/8 ;;5  1/2 ;;;;;;;;;;;;J;;;;;
H;"ANCHO DE CUELLO DELANTERO A 7/8"" DE BORDE INFERIOR";;P;CRITICA;;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;;;;;;;;;;;;;;;;
I;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13  1/4 ;;13  3/4 ;;14  1/4 ;;15      ;;;;;;;;;;;;;;;;;
J;SISA RECTA DELANTERO ;;P;CRITICA;;;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;26  3/4 ;;;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  1/8 ;;16  7/8 ;;;;;;;;;;;;;;;;;
M;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;
N;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1      ;;1  1/8 ;;1  1/4 ;;1  3/8 ;;1  1/2 ;;;;;;;;;;;;;;;;;
O;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  1/2 ;;14      ;;14  1/2 ;;15      ;;15  3/4 ;;;;;;;;;;;;;;;;;
P;SISA RECTA ESPALDA;;P;CRITICA;;;6  5/8 ;;7  1/8 ;;7  3/4 ;;8  1/4 ;;9      ;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;12  1/8 ;;12  3/8 ;;12  5/8 ;;12  7/8 ;;13  1/8 ;;;;;;;;;;;;;;;;;
R;ANCHO DE MANGA (BICEP);;P;CRITICA;  3/8 ;  3/8 ;12  1/4 ;;13      ;;13  3/4 ;;14  5/8 ;;15  5/8 ;;;;;;;;;;;;;;;;;
S;ANCHO BOCA DE MANGA EN QUIEBRE;;P;CRITICA;  3/8 ;  3/8 ;9  1/4 ;;10      ;;10  3/4 ;;11  1/2 ;;12  1/2 ;;;;;;;;;;;;;;;;;
T;ANCHO BOCA DE MANGA EN BORDE;;P;CRITICA;  3/8 ;  3/8 ;9  3/4 ;;10  1/2 ;;11  1/4 ;;12      ;;13  1/8 ;;;;;;;;;;;;;;;;;
U;LARGO COLLARETA CUELLO(DISPO);;C;CRITICA;;;31      ;;31  7/8 ;;32  5/8 ;;33  1/2 ;;34  3/8 ;;;;;;;;;;;;;;;;;
V;ALTO DE COLLARETA (DISPO);;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;
2;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;
3;UBICACIÓN DE CINTURA DESDE SISA DELANTERO/ESPALDA;;;;;;7  7/8 ;;7  7/8 ;;8      ;;8      ;;7  3/4 ;;;;;;;;;;;;;;;;;
4;ALTO DE CURVA FALDON DELANTERO/ESPALDA;;;;;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
