FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE-PAÑOS LAVADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ABERURA Y HOMBOR CORREGIDO 
FECHA DE GENERACION:;;25/07/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22/03/2023;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4/05/2023;;SE CORRIGE EL CODIGO (A) TALLA XL;;
CLIENTE: JCREW;;JCREW;;;;;;;;;ESTILO PROPIO 1:   ;;;;01817-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;
ESTILO CLIENTE: ;;191056;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;0.0%;;;2.0%;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;LEANDRO SILVA-YOEL;;;ESPECIAL;;;TRAVEZ;;;;0.5%;;;2.0%;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS: ;;;;XXXS-XXS-XS-S-M-L-XL-XXL;;;;;;;;;;;;;;;;;;;;;
TIPO MUESTRA: ;;PRODUCION ;;;;;;;;;MEDIDA : ;;;;PULGADAS;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXXS;;XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;XL;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;24  9/16;;24 13/16;;25  5/16;;25 13/16;;26  5/16;;26 13/16;;27  5/16;;27 13/16;;;;;;;;;;;28 3/4;;;;
B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  7/16;;25 11/16;;26  3/16;;26 11/16;;27  3/16;;27 11/16;;28  3/16;;28 11/16;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  5/16;5 /16;9  3/16;;9  7/16;;9 15/16;;10  7/16;;10 15/16;;11  9/16;;12  3/16;;12  9/16;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  5/16;5 /16;9  9/16;;9 13/16;;10  5/16;;10 13/16;;11  5/16;;11 15/16;;12  9/16;;12 15/16;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;8  7/16;;8 3/4;;9 1/4;;9  3/4 ;;10  1/4 ;;10  3/4 ;;11  1/4 ;;11 13/16;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;8 15/16;;9  1/4 ;;9  3/4 ;;10  1/4 ;;10 13/16;;11  1/4 ;;11 13/16;;12  3/8 ;;;;;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA;  3/8 ;  3/8 ;16  3/16;;16 11/16;;17 11/16;;18 11/16;;19 11/16;;21  3/16;;22  7/16;;23 11/16;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;.375;18 5/8;;19 1/8;;20 1/8;;21 1/8;;22 1/8;;23 5/8;;24 7/8;;26  1/8 ;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6  5/16;;6  7/16;;6  5/8 ;;6  7/8 ;;7 1/8;;7  7/16;;7 11/16;;7 15/16;;;;;;;;;;;;;;;
J;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;6 1/2;;6 1/2;;6 3/4;;6 3/4;;7    ;;7    ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;6 3/8;;6 1/2;;6 3/4;;7    ;;7 1/4;;7 1/2;;7 3/4;;8      ;;;;;;;;;;;;;;;
