C;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;14  9/16;;15  1/16;;15  9/16;;16  1/16;;16 13/16;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;4  3/8 ;;4  1/2 ;;4  5/8 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO-ESPALDA EN PUNTA DE SISA;;P;CRITICA;  3/8 ;  3/8 ;17      ;;18      ;;19      ;;20      ;;21  1/2 ;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;23  3/8 ;;23  7/8 ;;24  3/8 ;;24  7/8 ;;25  3/8 ;;;;;;;;;;;;;;;;;;;
1;UBICACIÓN DE 1/2  PECHO  DELANTERO DESDE HPS;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;;
2;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  7/16;;12 15/16;;13  7/16;;13 15/16;;14 11/16;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO-ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/2 ;;18  1/2 ;;19  1/2 ;;21      ;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6 11/16;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;;;;;;;;;;;;;;;;;;
V;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/8 ;;1  1/2 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  1/16;;15  9/16;;16  1/16;;16  9/16;;17  5/16;;;;;;;;;;;;;;;;;;;
M;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;24  1/16;;24  9/16;;25  1/16;;25  9/16;;26  1/16;;;;;;;;;;;;;;;;;;;
3;UBICACIÓN DE 1/2  PECHO  ESPALDA DESDE HPS;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;
4;ANCHO DE 1/2 PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  7/16;;13 15/16;;14  7/16;;14 15/16;;15 11/16;;;;;;;;;;;;;;;;;;;
P;SISA  RECTA DELANTERO;;P;CRITICA;;;6  5/16;;6 13/16;;7  5/16;;7  7/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
Q;SISA RECTA ESPALDA;;P;CRITICA;;;7  1/16;;7  9/16;;8  1/16;;8  5/8 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;23  7/16;;24  3/16;;24 15/16;;25  3/4 ;;26  1/2 ;;;;;;;;;;;;;;;;;;;
S;ALTO  DE COLLARETA CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA PUÑO;;C;CRITICA;;;15  7/8 ;;16  5/8 ;;17  3/8 ;;18  1/8 ;;19  1/8 ;;;;;;;;;;;;;;;;;;;
U;ALTO  DE COLLARETA PUÑO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
A1;LARGO DE MANGA;;P;CRITICA;  3/8 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;;;;;;;;;;;;;;;;;;
B2;ANCHO DE MANGA BICEP;;P;CRITICA;  3/8 ;  3/8 ;12  3/8 ;;13  7/16;;14  1/2 ;;15  1/2 ;;17  1/8 ;;;;;;;;;;;;;;;;;;;
C3;BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;11  3/8 ;;12  1/8 ;;12 15/16;;13 11/16;;14 11/16;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;NUEVA FORMAS DE MEDIR HPS ES DESDE BORDE COLLARETA;;;;;;;;;;;;;;;;;;;;;;;;;;;
