COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  5/16;  1/4 ;27 13/16;;28 13/16;;29 13/16;;30 13/16;;31 13/16;;32 13/16;;33 13/16;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  1/4 ;;21  1/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;28  3/4 ;;31  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  1/8 ;;20  3/8 ;;21  3/8 ;;22  7/8 ;;24  3/8 ;;27  3/4 ;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  3/4 ;;17  1/2 ;;18  1/4 ;;19  1/4 ;;20  1/4 ;;22      ;;23  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;7  1/16;;7  9/16;;8  1/16;;8  1/2 ;;8 15/16;;10  1/16;;10 13/16;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;4  3/4 ;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;6  1/4 ;;6  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  3/4 ;;2 15/16;;3  1/16;;3  3/16;;3  1/4 ;;3  1/2 ;;3  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16; 1/4;29  1/4 ;;30  1/4 ;;31  1/4 ;;32  1/4 ;;33  1/4 ;;34  1/4 ;;35  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;8  5/16;;8 13/16;;9  5/16;;9  3/4 ;;10  3/16;;11  1/4 ;;11 15/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17 13/16;;18  9/16;;19  5/16;;20  5/16;;21  5/16;;23  1/16;;24  9/16;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6      ;;6  1/4 ;;6  1/2 ;;6 11/16;;6 15/16;;7  7/16;;7 15/16;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/8 ;;1  3/8 ;;1  1/2 ;;1  1/2 ;;1  5/8 ;;1  5/8 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;15  7/16;;16  5/16;;17  3/16;;18  1/8 ;;19      ;;21  3/8 ;;23      ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;14  1/16;;14 15/16;;15  3/4 ;;16  1/4 ;;17  1/2 ;;19  1/2 ;;20 15/16;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9  3/16;;9 13/16;;10  7/16;;10 15/16;;11  7/16;;11 13/16;;12  5/16;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;8      ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO INTERIOR-BORDE SUPERIOR;;C;CRITICA;;;16 13/16;;17  5/16;;17 13/16;;18  9/16;;19  5/16;;20  9/16;;21 13/16;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE CUELLO INTERIOR-BORDE INFERIOR;;C;CRITICA;;;15  1/2 ;;16      ;;16  1/2 ;;17  1/4 ;;18      ;;19  5/16;;20  9/16;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO INTERIOR/ EXTERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BANDA INTERIOR;;C;CRITICA;;;17  1/2 ;;18  1/8 ;;18  5/8 ;;19  3/8 ;;20  1/8 ;;21  1/4 ;;22  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE PECHERA SUPERIOR;;C;CRITICA;;;6  7/8 ;;7  1/8 ;;7  1/8 ;;7  3/8 ;;7  3/8 ;;7  5/8 ;;7  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO PECHERA SUPERIOR;;C;CRITICA;;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE PECHERA INFERIOR;;C;CRITICA;;;6  7/8 ;;7  1/8 ;;7  1/8 ;;7  3/8 ;;7  3/8 ;;7  5/8 ;;7  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  3/8 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;14 15/16;;15 11/16;;16  7/16;;17  7/16;;18  7/16;;20  3/16;;21 11/16;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  3/4 ;;9  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;15  7/16;;16  3/16;;16 15/16;;17 15/16;;18 15/16;;20 11/16;;22  3/16;;;;;;;;;;;;;;;;;;;;;;;
5;LARGO DE TAJO DELANTERO;;P;CRITICA;;;4      ;;4  1/4 ;;4  1/4 ;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
7;ANCHO DE ABERTURA DE TAJO;;P;CRITICA;;;  3/4 ;;  3/4 ;;  3/4 ;;  3/4 ;;  3/4 ;;  3/4 ;;  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
8;ANCHO DE BANDA EXTERIOR;;C;CRITICA;;;17  1/2 ;;18  1/8 ;;18  5/8 ;;19  3/8 ;;20  1/8 ;;21  1/4 ;;22  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
9;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
10;ANCHO DE CUELLO EXTERNO-BORDE SUPERIOR;;C;CRITICA;;;16  9/16;;17  1/16;;17  9/16;;18  5/16;;19  1/16;;20  5/16;;21  9/16;;;;;;;;;;;;;;;;;;;;;;;
11;LARGO DE TAPETE DE VENTZ;;C;CRITICA;;;10      ;;10      ;;10      ;;10      ;;10      ;;10      ;;10      ;;;;;;;;;;;;;;;;;;;;;;;
12;ALTO  DE TAPETE DE VENTZ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
