;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;26  7/8 ;;27  7/8 ;;28  7/8 ;;29  7/8 ;;30  7/8 ;;31  7/8 ;;32  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20  3/16;;21  3/16;;22  3/16;;23 11/16;;25  3/16;;28 11/16;;31  3/16;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;19  1/8 ;;20  3/8 ;;21  3/8 ;;22  7/8 ;;24  3/8 ;;27  7/8 ;;30  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  5/16;;18  1/8 ;;19  1/8 ;;20  1/8 ;;21 13/16;;23  5/16;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;6  1/2 ;;7      ;;7  1/2 ;;8      ;;8  3/8 ;;9  1/2 ;;10  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5 15/16;;6  3/16;;6  7/16;;6 11/16;;6  7/8 ;;7  3/8 ;;7  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  9/16;;2 11/16;;2 13/16;;2 15/16;;3  1/16;;3  5/16;;3  9/16;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16; 1/4;29  3/8 ;;30  3/8 ;;31  3/8 ;;32  3/8 ;;33  3/8 ;;34  3/8 ;;35  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA; 3/8; 3/8;18  3/4 ;;19  1/2 ;;20  1/4 ;;21  1/4 ;;22  1/4 ;;24      ;;25  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/8 ;;10  9/16;;11  9/16;;12  5/16;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/16;;8  5/16;;8  9/16;;8 13/16;;9  1/16;;9  9/16;;10  1/16;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;2  1/4 ;;2  1/4 ;;2  3/8 ;;2  3/8 ;;2  1/2 ;;2  1/2 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA; 3/8; 1/4;21 15/16;;22 13/16;;23 11/16;;24  3/16;;24 11/16;;24  5/16;;23  9/16;;;;;;;;;;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA; 3/8; 3/8;14  1/2 ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;18  5/8 ;;20  5/8 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8  1/2 ;;9  1/4 ;;10      ;;10  1/2 ;;11      ;;11  3/4 ;;12  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CAPUCHA EN BORDE;;P;CRITICA;;;14  3/4 ;;15  3/16;;15  1/2 ;;15  7/8 ;;16  1/4 ;;16  3/4 ;;17  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE CAPUCHA;;P;CRITICA;;;11  3/8 ;;11  5/8 ;;11  7/8 ;;12  1/8 ;;12  3/8 ;;12  7/8 ;;13  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE CAPUCHA EN ESCOTE;;P;CRITICA;;;11      ;;11  5/16;;11 11/16;;11 15/16;;12  5/16;;12 15/16;;13  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BOLSILLO LADO SUPERIOR;;P;CRITICA;;;12  3/8 ;;12  3/8 ;;13      ;;13      ;;13  5/8 ;;13  5/8 ;;13  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE BOLSILLO;;C;CRITICA;;;8  7/8 ;;8  7/8 ;;9  3/8 ;;9  3/8 ;;9  7/8 ;;9  7/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE BOLSILLO EN PARTE INFERIOR DE ABERTURA DE BOLSILLO;;C;CRITICA;;;16  5/8 ;;16  5/8 ;;17  3/4 ;;17  3/4 ;;18  3/4 ;;18  3/4 ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE BOLSILLO LADO INFERIOR;;C;CRITICA;;;11  1/2 ;;11  1/2 ;;12  1/2 ;;12  1/2 ;;13  1/2 ;;13  1/2 ;;13  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8  1/4 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  5/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
Y;ALTO DE PUÑO;;C;CRITICA;;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE PUÑO;;C;CRITICA;;;7  7/8 ;;8  5/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
A1;LARGO DE CORDON DE CAPUCHA;;C;CRITICA;;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;53  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
A2;ALTO DE CORDON DE CAPUCHA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;
A3;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;14  3/8 ;;14  5/8 ;;14  7/8 ;;15  1/8 ;;15  3/8 ;;15  7/8 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
A4;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
A5;ANCHO DE ENTRETELA DE CAPUCHA;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;
A6;ALTO DE ENTRETELA DE CAPUCHA;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
