FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:11/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;; AMAZON;;;;;;;;;ESTILO PROPIO 1:;;;;;;7979;;;;;;;;ENCOGIMIENTO;;;;MOLDE
ESTILO CLIENTE:;; NICOLE;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;1.00%
SILUETA:;;PLUS;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;1.00%
DIVISION:;;;;;;;;;;;TALLAS:  1X 2X;;;;;;;;;;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADOS DE COSTADO;;;;  1/8 
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2X;;3X;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;5;;5;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  1/4 ;  1/4 ;9  3/8 ;;9  7/8;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;;;11  1/4 ;;11  7/8 ;;;;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;29  7/8 ;;30  3/8 ;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO ESPALDA;;P;CRITICA;  5/16;  3/8 ;12  5/8 ;;13  5/8 ;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA ;;P;CRITICA;  5/16;  3/8 ;14;;15;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO ;;P;CRITICA;;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/8 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO  DELANTERO ;;P;CRITICA;  1/4 ;  1/4 ;17  5/8 ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;;;10  3/4 ;;11  3/8 ;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  3/8 ;29  1/4 ;;29  3/4 ;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;26;;28;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;27  3/8 ;;29  3/8 ;;;;;;;;;;;;;;;;;;;;
O;ALTO DE COLLARETA SISA  (DISP);;C;CRITICA;;;1  13/16;;1  13/16;;;;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA SISA (DISP);;C;CRITICA;;;29 1/4;;31;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO RIB;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;
R;LARGO DE CUELLO RIB;;C;CRITICA;;;21  1/8 ;;21  3/8 ;;;;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE ESPALDA ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE ESPALDA ;;C;CRITICA;;;14  3/8 ;;14  7/8 ;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA ;;C;CRITICA;;;7  3/8 ;;7  3/8 ;;;;;;;;;;;;;;;;;;;;
2;ANCHO MEDIO PECHO ESPALDA ;;P;CRITICA;  5/16;  1/4 ;8  3/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO ;;P;CRITICA;;;5  5/8 ;;6  1/8 ;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;16  3/8 ;;17  3/8 ;;;;;;;;;;;;;;;;;;;;
