FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;12/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;
CLIENTE:;;MARMAXX;;;;;;;;ESTILO PROPIO 1:;;;;;;9309;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;AN12963;;;;;;;;ESTILO PROPIO 2:;;;;;;---;;;;;;;;HILO;;;;3.5%;;;
SILUETA:;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;2.5%;;;
DIVISION:;;WOMENS;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL;;;;;;;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA # 469;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;CRITICAL;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO DELANTERO;;CRITICAL;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO DELANTERO;;CRITICAL;;;3  5/16;;3  7/16;;3  9/16;;3 11/16;;3 13/16;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO ;;CRITICAL;  1/4 ;  1/4 ;22  1/4 ;;23  1/4 ;;24  1/4 ;;25  1/4 ;;26  3/4 ;;;;;;;;;;;;;;;;;
