C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  3/8 ;;18  1/8 ;;19  7/8 ;;21 11/16;;23  3/16;;24  7/16;;25 11/16;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;6  7/8 ;;7      ;;7  1/8 ;;7  3/8 ;;7  1/2 ;;;;;;;;;;;;;;;3.0%;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;16  3/16;;17  1/2 ;;18  7/8 ;;20  1/4 ;;21  3/8 ;;22  5/8 ;;;;;;;;;;;;;;;3.0%;
F;SISA RECTA ESPALDA;;P;CRITICA;;;8 15/16;;9  3/8 ;;9  3/4 ;;10  1/8 ;;10  1/2 ;;10 15/16;;11  5/16;;;;;;;;;;;;;;;3.0%;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  3/4 ;;21  3/4 ;;22  3/4 ;;24  1/4 ;;25  3/4 ;;27  1/4 ;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19      ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;24      ;;25  1/2 ;;27      ;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28  5/8 ;;29  5/8 ;;30  5/8 ;;31  5/8 ;;32  5/8 ;;33  5/8 ;;34  5/8 ;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;5  3/8 ;;5  5/8 ;;6  3/8 ;;7      ;;7  5/8 ;;8      ;;8  3/8 ;;;;;;;;;;;;;;;2.0%;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6  5/8 ;;6  7/8 ;;7  1/16;;7  5/16;;7  1/2 ;;8      ;;8  1/2 ;;;;;;;;;;;;;;;3.0%;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3      ;;3  1/4 ;;3  1/2 ;;3  3/4 ;;4      ;;4  1/4 ;;4  1/2 ;;;;;;;;;;;;;;;2.0%;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  3/8 ;;19  1/8 ;;20 15/16;;22  7/16;;23 11/16;;24 15/16;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;5  9/16;;5  3/4 ;;5 13/16;;5  7/8 ;;6  1/8 ;;6  5/16;;6  1/2 ;;;;;;;;;;;;;;;MOLDE ESPECIAL;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;16  3/16;;17  1/2 ;;18  7/8 ;;20  3/16;;21  3/8 ;;22  5/8 ;;;;;;;;;;;;;;;7/07/2023;
P;SISA RECTA DELANTERO;;P;CRITICA;;;7 15/16;;8  3/8 ;;8 11/16;;9  1/16;;9  7/16;;9  7/8 ;;10  5/16;;;;;;;;;;;;;;;3.0%;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  5/8 ;;28  5/8 ;;29  5/8 ;;30  5/8 ;;31  5/8 ;;32  5/8 ;;33  5/8 ;;;;;;;;;;;;;;;5.0%;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;8  5/16;;8  9/16;;9  9/16;;10 13/16;;11  1/16;;12  1/16;;13  1/16;;;;;;;;;;;;;;;3.0%;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;16  3/8 ;;17  3/8 ;;18  1/4 ;;19      ;;19  7/8 ;;20  5/8 ;;21  1/2 ;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15 13/16;;16  1/2 ;;16  7/16;;16  5/8 ;;18      ;;19      ;;20  1/16;;;;;;;;;;;;;;;;
U;LARGO DE CUELLO ;;C;CRITICA;;;16 15/16;;17 11/16;;18  7/16;;19  3/16;;19 15/16;;21      ;;22  1/8 ;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO ;;C;CRITICA;;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE ;;C;CRITICA;;;12 15/16;;13  3/16;;13  7/16;;13 11/16;;13 15/16;;14  7/16;;14  7/8 ;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
