FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;2/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;;
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;02568-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;
ESTILO CLIENTE:;;TF7215;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.5%;;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;SS24;;;;;;;;TRAVEZ;;;;3.5%;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;32-34-36-38-40-42-44-46;;;;;;;;LARG.DE MANGA;;;;2.5%;;;;
TIPO MUESTRA:;;PRODUCCIÓN  ;;;;;;;;;MEDIDA :;;;;;;CENTIMETROS;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;0.30;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.50;;;;
;;;;;;;; ;;         ;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.50;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.70;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);32;;34;;36;;38;;40;;42;;44;;46;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;17.6;;17.8;;18.0;;18.2;;18.6;;19.0;;19.4;;19.8;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.8;;3.9;;3.9;;4.0;;4.1;;4.3;;4.5;;4.6;;;;;;;;;;;;
