FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE-TUMBLING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;17/09/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0%;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;5.0%;03181-P1
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;01251-P3;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;2.0%;
ESTILO CLIENTE:;;516912;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.0%;;;26/05/2023;
SILUETA:;;TALL;;;;;;;;;TEMPORADA:;;;;;;FHC 23;;;;;;;;TRAVEZ;;;;5.0%;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS:;;;;;;XXS-XS-S-M-L-XL;;;;;;;;LARG.DE MANGA;;;;2.0%;;;;
TIPO MUESTRA:;;PRODUCCION  PROGRAMA ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;YOEL-RICHARD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03181-P2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;8 13/16;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15 13/16;;16  5/16;;16 13/16;;17  7/16;;18  1/4 ;;18  5/8 ;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;8      ;;8  7/16;;8  7/8 ;;9  1/4 ;;9 11/16;;9 15/16;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19 13/16;;20 13/16;;21 13/16;;23  1/16;;24 13/16;;25 13/16;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;21  7/8 ;;22  7/8 ;;23  7/8 ;;25  1/8 ;;26  7/8 ;;27  7/8 ;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;30 15/16;;31  7/16;;31 15/16;;32  9/16;;33  3/16;;33  9/16;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  1/16;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  7/16;;3 11/16;;3 13/16;;3 15/16;;4  3/16;;4  5/16;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  7/8 ;;17  5/8 ;;18      ;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;7      ;;7  7/16;;7 15/16;;8  5/16;;8  3/4 ;;9      ;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;29  7/8 ;;30  3/8 ;;30  7/8 ;;31  3/8 ;;32  1/8 ;;32  1/2 ;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;20  9/16;;20 13/16;;21  3/16;;21  7/16;;21 13/16;;21 15/16;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;13  3/8 ;;14  1/8 ;;14  7/8 ;;15  5/8 ;;16  5/8 ;;17  3/8 ;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;10  1/8 ;;10  7/16;;10  3/4 ;;11      ;;11  3/8 ;;11  5/8 ;;;;;;;;;;;;;;;;
V;LARGO DE CUELLO EN BORDE ;;C;CRITICA;;;18  5/8 ;;19  3/8 ;;19 15/16;;20  1/2 ;;21  5/16;;21 11/16;;;;;;;;;;;;;;;;
X;LARGO DE CUELLO EN CENTRO;;C;CRITICA;;;18  1/4 ;;19      ;;19  1/2 ;;20  1/8 ;;20  7/8 ;;21  1/4 ;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO ;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICA;;;13  3/4 ;;13 15/16;;14  3/16;;14  7/16;;14  3/4 ;;14  7/8 ;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
Z1;ALTO DE VENZ DELANTERO-ESPALDA;;P;CRITICA;;;4 15/16;;4 15/16;;4 15/16;;4 15/16;;4 15/16;;4 15/16;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;.;;;;;;;;;;;;;;;;;;
