;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;26  3/8 ;;26  7/8 ;;27  3/8 ;;27  7/8 ;;28  3/8 ;;28  7/8 ;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;21  9/16;;22  9/16;;23  9/16;;24  9/16;;26      ;;27  1/2 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/2 ;;18  1/4 ;;;;;;;;;;;;;;;;;;;
E;SISA  RECTA DELANTERO;;P;CRITICA;;;6 11/16;;7  3/16;;7 11/16;;8  1/4 ;;8 15/16;;9  3/4 ;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/16;;5  3/16;;5  5/16;;5  7/16;;5  9/16;;5 11/16;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO FRENTE;;P;CRITICA;;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO FRENTE;;P;CRITICA;  3/8 ;  3/8 ;12  1/2 ;;13      ;;13  1/2 ;;14      ;;14  3/4 ;;15  1/2 ;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;22  1/2 ;;22  3/4 ;;23      ;;23  1/4 ;;23  1/2 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;
I;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22      ;;23      ;;23 15/16;;24  7/8 ;;26  5/16;;27  3/4 ;;;;;;;;;;;;;;;;;;;
J;ANCHO SUPERIOR DE ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  1/2 ;;14      ;;14  1/2 ;;15      ;;15  3/4 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;
K;SISA RECTA EN ESPALDA;;P;CRITICA;;;3 13/16;;4  1/8 ;;4  7/16;;4  3/4 ;;5  5/16;;5  7/8 ;;;;;;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;4  5/8 ;;4  3/4 ;;5      ;;5  1/8 ;;5  1/4 ;;5  7/16;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;8  3/16;;8  7/16;;8 11/16;;8 15/16;;9  5/16;;9 11/16;;;;;;;;;;;;;;;;;;;
N;ALTO DE CANESU ESPALDA;;P;CRITICA;;;5 15/16;;6  3/16;;6  7/16;;6 11/16;;6 15/16;;7  3/16;;;;;;;;;;;;;;;;;;;
O;SISA RECTA CANESU ESPALDA;;P;CRITICA;;;4  3/4 ;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;6      ;;;;;;;;;;;;;;;;;;;
P;ANCHO INFERIOR DE CANESU ESPALDA;;P;CRITICA;;;4  1/2 ;;4  1/2 ;;4  9/16;;4  5/8 ;;4  3/4 ;;4 13/16;;;;;;;;;;;;;;;;;;;
Q ;ALTO DE  COSTADO CANESU ESPALDA;;P;CRITICA;;;5  1/8 ;;5  5/16;;5  1/2 ;;5  3/4 ;;6      ;;6  1/4 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;4  9/16;;4 13/16;;5  1/16;;5  5/16;;5  9/16;;5 13/16;;;;;;;;;;;;;;;;;;;
S;ANCHO DE MANGA (BICEP);;P;CRITICA;  3/8 ;  3/8 ;14 15/16;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18  3/4 ;;20  1/4 ;;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  5/16;;13  1/8 ;;13 13/16;;14  1/2 ;;15  5/8 ;;16  3/4 ;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA DUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;28  7/8 ;;29  5/16;;30  5/16;;31  1/16;;31 13/16;;32  9/16;;;;;;;;;;;;;;;;;;;
W;LARGO DE COLLARETA ESPALDA;;C;CRITICA;;;18      ;;18  1/2 ;;19      ;;19  1/2 ;;20  1/4 ;;21      ;;;;;;;;;;;;;;;;;;;
X;ALTO DE COLLARETA ESPALDA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
