A;LARGO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;28  5/8 ;;29  3/8 ;;30  1/8 ;;30  7/8 ;;31  5/8 ;;32  3/8 ;;33  1/8 ;;;;;;;;;;;;;;;;;
B;LARGO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;29  7/8 ;;30  5/8 ;;31  3/8 ;;32  1/8 ;;32  7/8 ;;33  1/2 ;;34  3/8 ;;;;;;;;;;;;;;;;;
C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/16;16  1/4 ;;16  7/8 ;;17  3/4 ;;18  1/2 ;;19  1/4 ;;19  7/8 ;;20  3/4 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ;  3/16;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  1/8 ;;20  7/8 ;;21  5/8 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  3/8 ;  3/16;7  7/8 ;;8  1/2 ;;8  7/8 ;;9  3/8 ;;10      ;;10  1/2 ;;11      ;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  3/16;8  7/8 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  3/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN PUNTA ;;P;CRITICA;  3/8 ;  3/16;18  1/4 ;;19  3/4 ;;21  1/4 ;;22  3/4 ;;24  1/4 ;;25  1/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  DELANTERO;;P;CRITICA;  3/8 ;3 /16;17  3/4 ;;19  1/4 ;;20  3/4 ;;22  1/4 ;;23  3/4 ;;24  3/4 ;;25  3/4 ;;;;;;;;;;;;;;;;;
H1;ANCHO DE FALDON   ESPALDA ;;P;CRITICA;  3/8 ;3 /16;18  1/4 ;;19  3/4 ;;21  1/4 ;;22  5/8 ;;24  1/8 ;;25  1/8 ;;26  1/8 ;;;;;;;;;;;;;;;;;
I;CAIDA CUELLO DELANTERO;;P;CRITICA;;;2  5/8 ;;2  7/8 ;;3  1/8 ;;3  3/8 ;;3  5/8 ;;3  7/8 ;;4  1/8 ;;;;;;;;;;;;;;;;;
J;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESP ;;P;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
LL;ANCHO DE MANGA  EN PUNTA ;;P;CRITICA;  3/8 ;  3/16;14  1/4 ;;15  1/4 ;;16  1/4 ;;17  1/4 ;;18  3/8 ;;19  3/8 ;;20  3/8 ;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA ;;P;CRITICA;  1/4 ;  1/4 ;26  1/8 ;;26  3/4 ;;27  3/8 ;;28      ;;28  5/8 ;;29  1/4 ;;29  7/8 ;;;;;;;;;;;;;;;;;
N;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/16;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  1/2 ;;;;;;;;;;;;;;;;;
Ñ;ANCHO  CUELLO ;;C;CRITICA;;;16  1/2 ;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  1/8 ;;20  7/8 ;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
P;ANCHO DE TAPETE ;;C;CRITICA;;;15  1/4 ;;15  1/2 ;;15  3/4 ;;16      ;;16  1/4 ;;16  1/2 ;;16  3/4 ;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
