A;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;48  3/8 ;;49  1/2 ;;50  3/4 ;;51  7/8 ;;53  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
D;BOCA DE MANGA DELANTERO;;P;CRITICA;;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;6      ;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE DELANTERO EN SISA;;P;CRITICA;;;45  1/4 ;;46  1/4 ;;47  1/4 ;;48  3/8 ;;49  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/16;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;24  1/2 ;;25  1/8 ;;25  3/4 ;;26  3/8 ;;27      ;;;;;;;;;;;;;;;;;;;;;;;;;;
K;BOCA DE MANGA ESPALDA;;P;CRITICA;;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;6      ;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE ESPALDA EN SISA;;P;CRITICA;;;22  7/8 ;;23  3/8 ;;23  7/8 ;;24  3/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/16;9  3/16;;9  5/8 ;;10  3/16;;10  5/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;14      ;;14  3/8 ;;14  3/4 ;;15  1/8 ;;15  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;4X2.5X3
T;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
U;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;27  3/16;;27  7/8 ;;28  5/8 ;;29  3/8 ;;30  3/16;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE PECHO DELANTERO;;P;CRITICA;;;12  1/16;;12  1/2 ;;13  1/16;;13  1/2 ;;14  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/16;22  7/8 ;;23  7/8 ;;24  7/8 ;;25  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE PECHO ESPALDA;;P;CRITICA;;;12  1/16;;12  1/2 ;;13  1/16;;13  1/2 ;;14  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/16;11  3/4 ;;12  1/4 ;;12  3/4 ;;13  1/4 ;;13  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
5;UBICACIÓN DE CODO DELANTERO/ ESPALDA;;P;CRITICA;;;9      ;;9      ;;9      ;;9      ;;9      ;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ANCHO DE CODO DELANTERO/ ESPALDA;;P;CRITICA;  3/8 ;  3/16;6  5/16;;6  3/4 ;;7  1/16;;7  3/8 ;;7  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
