C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;;;21  1/4 ;;22  1/4 ;;23  1/4 ;;24  1/4 ;;25  3/4 ;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;;;12  3/8 ;;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  5/8 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;6  9/16;;7  1/16;;7  9/16;;8  1/16;;8  7/8 ;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/16;;5  3/16;;5  5/16;;5  7/16;;5  9/16;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  3/8 ;;26  7/8 ;;27  3/8 ;;27  7/8 ;;28  3/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA MITAD;;P;CRITICA;;;6  5/8 ;;6  7/8 ;;7  3/16;;7  7/16;;7  3/4 ;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;7  1/4 ;;7  3/4 ;;8  1/4 ;;8  3/4 ;;9  9/16;;;;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA MITAD;;P;CRITICA;;;4      ;;4  3/16;;4  5/16;;4  1/2 ;;4 11/16;;;;;;;;;;;;;;;;;
M;LARGO COLLARETA CUELLO ;;C;CRITICA;;;26  7/8 ;;27  9/16;;28  1/4 ;;28  7/8 ;;29  5/8 ;;;;;;;;;;;;;;;;;
N;ALTO COLLARETA CUELLO ;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;
O;LARGO COLLARETA SISA;;C;CRITICA;;;22  1/4 ;;23  1/4 ;;24  1/4 ;;25  1/4 ;;26  7/8 ;;;;;;;;;;;;;;;;;
P;ALTO COLLARETA SISA;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;
Q;ANCHO DE PECHO ESPALDA  EN SISA MITAD;;P;CRITICA;;;9  1/8 ;;9  9/16;;10  1/16;;10  5/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;
R;ANCHO DE FALDON ESPALDA MITAD;;P;CRITICA;;;10 15/16;;11  7/16;;11 15/16;;12  7/16;;13  3/16;;;;;;;;;;;;;;;;;
S;ALTO DE ABERTURA DELANTERO-ESPALDA;;P;CRITICA;;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
