C;ALTO DE DOBLEZ DE CUELLO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;3 11/16;;3 11/16;;3 11/16;;3 11/16;;3 11/16;;;;;;;;;;;;;;;;;
D;ALTO DE DOBLEZ DE CUELLO DELANTERO;;P;CRITICA;  5/16;  3/8 ;3  9/16;;3  9/16;;3  9/16;;3  9/16;;3  9/16;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;27  9/16;;28  1/16;;28  9/16;;29  1/16;;29  9/16;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  1/16;;27  9/16;;28  1/16;;28  9/16;;29  1/16;;;;;;;;;;;;;;;;;
G;ANCHO DE HOMBRO ESPALDA EN PIQUETES;;P;CRITICA;  3/8 ;  3/8 ;13  3/4 ;;14  1/4 ;;14  3/4 ;;15  1/4 ;;16      ;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBRO DELANTERO EN PIQUETES;;P;CRITICA;;;13 11/16;;14  3/16;;14 11/16;;15  3/16;;15 15/16;;;;;;;;;;;;;;;;;
I;ANCHO DE PECHO EN SISA DELANTERO - ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16  7/8 ;;17  7/8 ;;18  7/8 ;;19  7/8 ;;21  3/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE FALDON DELANTERO - ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17 11/16;;18 11/16;;19 11/16;;20 11/16;;22  3/16;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA DE PIQUETE DE HOMBRO;;P;CRITICA;  5/16;  3/8 ;6  5/8 ;;7  1/8 ;;7  5/8 ;;8  1/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;
L;SISA RECTA DELANTERO DE PIQUETE HOMBRO;;P;CRITICA;  5/16;  3/8 ;6  3/8 ;;6 13/16;;7  5/16;;7 13/16;;8  5/8 ;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;18  1/16;;18  1/2 ;;18  7/8 ;;19  1/4 ;;19  9/16;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;11 13/16;;12 11/16;;13  1/2 ;;14  1/4 ;;15  1/4 ;;;;;;;;;;;;;;;;;
O;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  1/8 ;;9 11/16;;10  3/16;;10  3/4 ;;11  1/4 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
