A1;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  1/2 ;;27      ;;27  1/2 ;;28      ;;28  1/2 ;;29      ;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO EN SISA;;P;CRITICA;  3/8 ;  3/8 ;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  3/8 ;;21  7/8 ;;23  7/8 ;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PECHO  ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  3/8 ;;21  7/8 ;;23  7/8 ;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19 13/16;;20  3/4 ;;21  3/4 ;;22 15/16;;24  3/8 ;;26  5/16;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;14  5/16;;14 13/16;;15  5/16;;15 15/16;;16 11/16;;17 11/16;;;;;;;;;;;;;;;;;;
D1;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  1/2 ;;16      ;;16  5/8 ;;17  3/8 ;;18  3/8 ;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;6  3/4 ;;7  1/8 ;;7  9/16;;8      ;;8  1/2 ;;9  1/4 ;;;;;;;;;;;;;;;;;;
E1;SISA RECTA  ESPALDA;;P;CRITICA;;;7  3/4 ;;8  1/8 ;;8  1/2 ;;8 15/16;;9  7/16;;10  1/16;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  5/16;;7  1/2 ;;7  3/4 ;;8      ;;8  3/16;;8  7/16;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;7  5/8 ;;7  3/4 ;;7  7/8 ;;8      ;;8  1/8 ;;8  1/4 ;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  5/16;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;
J;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;8 13/16;;9      ;;9  5/16;;9  9/16;;9 13/16;;10  1/16;;;;;;;;;;;;;;;;;;
K;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  3/4 ;;14  1/2 ;;15  1/4 ;;16      ;;17  1/8 ;;18  5/8 ;;;;;;;;;;;;;;;;;;
L;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  5/8 ;;13  7/16;;14  1/8 ;;14 15/16;;15 15/16;;17  7/16;;;;;;;;;;;;;;;;;;
M;LARGO DE CUELLO;;C;CRITICA;;;24      ;;24  5/8 ;;25  1/8 ;;25  3/4 ;;26  5/16;;26  7/8 ;;;;;;;;;;;;;;;;;;
N;ALTO DE CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;
O;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  1/2 ;;13  3/4 ;;14      ;;14  1/4 ;;14  1/2 ;;14  3/4 ;;;;;;;;;;;;;;;;;;
P;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;;;;;;;;;;;;;;;;;
2;ANCHO MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  3/25;;13  5/8 ;;14  1/8 ;;14  3/4 ;;15  1/2 ;;16  1/2 ;;;;;;;;;;;;;;;;;;
3;ALTO MEDIO PECHO ESPALDA;;P;CRITICA;;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;
4;ANCHO MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14      ;;15  1/2 ;;15      ;;15  1/2 ;;16  1/4 ;;17  5/16;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CUELLO MISMA TELA SE TRABAJO 90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"CODIGO 101 +1/4""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"CODIGO 154 +1/4""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"CODIGO 171 +1/4""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CODIGO 105 -1/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
