B;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  1/8 ;;6  3/8 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/2 ;;7  7/8 ;;;;;;;;;;;;;
C;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  1/2 ;;2  5/8 ;;2  3/4 ;;2  7/8 ;;3      ;;3  1/4 ;;3  1/2 ;;;;;;;;;;;;;
D;LARGO DE TAJO DELANTERO;;P;CRITICA;;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5      ;;5      ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;
E;ANCHO DE TAJO DELANTERO;;P;CRITICA;;;1/2;;1/2;;1/2;;1/2;;1/2;;1/2;;1/2;;;;;;;;;;;;;
F;SISA RECTA DELANTERO ;;P;CRITICA;;;6 1/2;;7;;7 1/2;;8;;8 1/2;;9 5/8;;10 3/8;;;;;;;|;;;;;;
G;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  1/4 ;15  3/4 ;;16  1/2 ;;17  3/8 ;;18  3/8 ;;19  3/8 ;;21      ;;22  1/2 ;;;;;;;;;;;;;
I;UBICACIÓN DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7  1/4 ;;7  5/8 ;;;;;;;;;;;;;
J;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/16;14  3/8 ;;15  1/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;19  5/8 ;;21  1/8 ;;;;;;;;;;;;;
K;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/16;20  5/8 ;;21  5/8 ;;22  5/8 ;;24  3/16;;25  5/8 ;;29  3/16;;31  5/8 ;;;;;;;;;;;;;
K1;UBICACIÓN DE CINTURA DELANTERO;;P;CRITICA;  3/8 ;  3/16;16  1/2 ;;17  1/2 ;;18  1/2 ;;19  1/4 ;;19  7/8 ;;20  3/4 ;;21  1/2 ;;;;;;;;;;;;;
K2;UBICACIÓN DE CINTURA ESPALDA ;;P;CRITICA;  3/8 ;  3/16;19  3/8 ;;20  3/8 ;;21  3/8 ;;22      ;;22  7/8 ;;23  1/2 ;;24  3/8 ;;;;;;;;;;;;;
M;ANCHO DE CINTURA DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/16;19  3/8 ;;20  5 /8;;21  5/8 ;;23  1/8 ;;24  5/8 ;;28  5/8 ;;31  1/8 ;;;;;;;;;;;;;
N;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/16;19  1/2 ;;20  3/4 ;;21  3/4 ;;23  1/4 ;;24  3/4 ;;28  1/4 ;;30  3/4 ;;;;;;;;;;;;;
P;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/8 ;  1/4 ;31  1/4 ;;32  1/4 ;;33  1/4 ;;34  1/4 ;;35  1/4 ;;36  1/4 ;;37  1/4 ;;;;;;;;;;;;;
Q;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;9  1/2 ;;10      ;;10  1/2 ;;;;;;;;;;;;;
R;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  5/8 ;;2  5/8 ;;2  3/4 ;;;;;;;;;;;;;
S;SISA RECTA ESPALDA;;P;CRITICA;;;9  3/16;;9  3/4 ;;10  1/4 ;;10  5/8 ;;11      ;;12  1 /8;;12  7/8 ;;;;;;;;;;;;;
T;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;18  1/2 ;;19  3/8 ;;20      ;;21      ;;22      ;;23  7/8 ;;25  3/8 ;;;;;;;;;;;;;
U;UBICACIÓN DE MEDIO PECHO ESPALDA;;P;CRITICA;;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;9  5/8 ;;10  1/8 ;;10  1/2 ;;;;;;;;;;;;;
V;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/16;14  7/8 ;;15  5/8 ;;16  3/8 ;;17  3/8 ;;18  3/8 ;;20  1/8 ;;21  5/8 ;;;;;;;;;;;;;
X;LARGO DE MANGA;;P;CRITICA;  3/16;  1/4 ;23  3/4 ;;24  5/8 ;;25  1/2 ;;26      ;;26  1/2 ;;26  1/8 ;;25  3/8 ;;;;;;;;;;;;;
Y;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/16;14  3/4 ;;15  3/4 ;;16  5/8 ;;17  7/8 ;;18  7/8 ;;21      ;;22  1/2 ;;;;;;;;;;;;;
Z;ANCHO DE BOCA DE MANGA ;;P;CRITICA;;;8  1/4 ;;9      ;;9  3/4 ;;10  1/4 ;;10  3/4 ;;11  1/2 ;;12  1/8;;;;;;;;;;;;;
C1;ANCHO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;2  3/4;;2  3/4;;2  3/4;;2  3/4;;2  3/4;;2  3/4;;2  3/4;;;;;;;;;;;;;
D1;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;7  1/2 ;;7  1/2 ;;;;;;;;;;;;;
E1;ANCHO DE CUELLO;;C;CRITICA;;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  1/2 ;;18      ;;19  1/8 ;;20  1/4 ;;;;;;;;;;;;;
E2;ALTO DE CUELLO;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;
H1;ANCHO DE TAPETE;;C;CRITICA;;;14  3/4 ;;14  7/8 ;;15  1/4 ;;15  1/2 ;;15  7/8 ;;16  3/8 ;;16  7/8 ;;;;;;;;;;;;;
H2;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
I1;ANCHO DE PUÑO;;C;CRITICA;;;7  7/8 ;;8  1/2 ;;9  3/8 ;;9  7/8 ;;10  3/8 ;;11      ;;11  3/4 ;;;;;;;;;;;;;
I 2;ALTO DE PUÑO;;C;CRITICA;;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;6  1/2 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
