C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14 15/16;;15  7/16;;15 15/16;;16  7/16;;17  3/16;;;;;;;;;;;;;;;;;
D;HOMBRO INDIVIDUAL ESPALDA;;P;CRITICA;;;4  7/8 ;;5      ;;5  1/8 ;;5  1/4 ;;5  7/16;;;;;;;;;;;;;;;;;
E;SISA RECTA ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;7  3/16;;7 11/16;;8  3/16;;8 11/16;;9  7/16;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  7/16;;19  7/16;;20  7/16;;21  7/16;;22 15/16;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;26  5/16;;26 13/16;;27  5/16;;27 13/16;;28  5/16;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON  ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  7/8 ;;19  7/8 ;;20  7/8 ;;21  7/8 ;;23  3/8 ;;;;;;;;;;;;;;;;;
I;ALTO DE CUELLO;;P;CRITICA;;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;;;;;;;;;;;;;;;;
J; ESCOTE EN DIAGONAL EN DELANTERO EXTERIOR;;P;CRITICA;;;27  7/16;;28  1/4 ;;29  1/8 ;;29 15/16;;30 15/16;;;;;;;;;;;;;;;;;
K;LARGO DE DELANTERO EXTERIOR;;P;CRITICA;  1/4 ;  1/4 ;33  1/8 ;;33  3/4 ;;34  3/8 ;;35  1/16;;35  3/4 ;;;;;;;;;;;;;;;;;
L;SISA RECTA DE DELANTERO EXTERIOR;;P;CRITICA;  1/4 ;  3/8 ;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;9      ;;;;;;;;;;;;;;;;;
M;ANCHO DE DELANTERO EXTERIOR;;P;CRITICA;  3/8 ;  3/8 ;24  5/16;;25  1/4 ;;26  3/16;;27  1/8 ;;28  7/16;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDÓN  DELANTERO EXTERIOR;;P;CRITICA;  3/8 ;  3/8 ;18  7/8 ;;19  7/8 ;;20  7/8 ;;21  7/8 ;;23  3/8 ;;;;;;;;;;;;;;;;;
O;LARGO DE COSTADO DELANTERO EXTERIOR;;P;CRITICA;;;10  1/2 ;;10  5/8 ;;10  3/4 ;;10 15/16;;11  1/16;;;;;;;;;;;;;;;;;
P; ESCOTE EN DIAGONAL EN DELANTERO INTERIOR;;P;CRITICA;;;28  5/8 ;;29  3/8 ;;30  3/16;;31      ;;31 15/16;;;;;;;;;;;;;;;;;
Q;LARGO DE DELANTERO INTERIOR;;P;CRITICA;  1/4 ;  1/4 ;32  3/16;;32  7/8 ;;33  1/2 ;;34  3/16;;34  7/8 ;;;;;;;;;;;;;;;;;
R;SISA RECTA DELANTERO INTERIOR;;P;CRITICA;  1/4 ;  3/8 ;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;9  1/16;;;;;;;;;;;;;;;;;
S;ANCHO DE DELANTERO INTERIOR;;P;CRITICA;  3/8 ;  3/8 ;24  7/8 ;;25  3/4 ;;26  9/16;;27  7/16;;28 11/16;;;;;;;;;;;;;;;;;
T;ANCHO DE FALDÓN  DELANTERO INTERIOR;;P;CRITICA;  3/8 ;  3/8 ;18  7/8 ;;19  7/8 ;;20  7/8 ;;21  7/8 ;;23  3/8 ;;;;;;;;;;;;;;;;;
U;LARGO DE COSTADO DELANTERO INTERIOR;;P;CRITICA;;;8  9/16;;8 11/16;;8 13/16;;8 15/16;;9  1/16;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIA ESPALDA;;P;CRITICA;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;
2;ANCHO  DE MEDIA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  3/8 ;;16  1/8 ;;;;;;;;;;;;;;;;;
V;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;24  3/16;;24 11/16;;25  3/16;;25 11/16;;26  3/16;;;;;;;;;;;;;;;;;
W;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;12  1/2 ;;13  1/4 ;;14      ;;14  7/8 ;;16      ;;;;;;;;;;;;;;;;;
X;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8      ;;8  1/2 ;;9      ;;9  1/2 ;;10      ;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE;;C;CRITICA;;;11  1/4 ;;11  5/8 ;;12      ;;12  3/8 ;;12  3/4 ;;;;;;;;;;;;;;;;;
Z;ALTO  DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
