C;ANCHO DE CINTURA A 7 3/4 DE PUNTA DE SISA;;P;CRITICA;  3/8 ;  3/8 ;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;20  1/4 ;;;;;;;;;;;;;;;;;
D;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;17  7/8 ;;18  7/8 ;;19  7/8 ;;20  7/8 ;;22  3/8 ;;;;;;;;;;;;;;;;;
E;ANCHO DE VUELTA DELANTERO EN BORDE;;P;CRITICA;  5/16;  5/16;17  1/4 ;;17  3/4 ;;18  1/4 ;;18  3/4 ;;19  3/8 ;;;;;;;;;;;;;;;;;
F;ANCHO DE VUELTA DELANTERO EN QUIEBRE;;P;CRITICA;  5/16;  5/16;15  3/4 ;;16      ;;16  1/4 ;;16  1/2 ;;16  7/8 ;;;;;;;;;;;;;;;;;
G;ALTO DE VUELTA EN LATERAL;;P;CRITICA;;;2  1/2 ;;2  1/2 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBRO INDIVIDUAL DELANTERO;;P;CRITICA;  3/8 ;  1/4 ;5  3/8 ;;5  1/2 ;;5  1/2 ;;5  5/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;
I;ANCHO TOTAL DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18  3/4 ;;19  5/8 ;;20  3/8 ;;21  1/4 ;;22  3/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE MEDIO PECHO DELANTERO A … DE BORDE;;P;CRITICA;  3/8 ;  3/8 ;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  1/4 ;;17      ;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO  ;;P;CRITICA;  1/4 ;  3/8 ;5      ;;5  3/8 ;;5 11/16;;6      ;;6  1/2 ;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;24  1/8 ;;24  5/8 ;;25  1/8 ;;25  5/8 ;;26  1/8 ;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO INDIVIDUAL ESPALDA;;P;CRITICA;;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;3  7/8 ;;;;;;;;;;;;;;;;;
N;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;9  5/8 ;;;;;;;;;;;;;;;;;
O;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;15      ;;15  1/2 ;;16      ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;
P;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;;;;;;;;;;;;;;;;
Q;ANCHO DE MEDIO PECHO ESPALDA A 5 1/2PUNTA DE HOMBRO;;P;CRITICA;;;13  3/4 ;;14  1/4 ;;14  3/4 ;;15  1/4 ;;16      ;;;;;;;;;;;;;;;;;
R;SISA RECTA  ESPALDA;;P;CRITICA;;;6  7/8 ;;7  3/8 ;;7  7/8 ;;8  3/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;
S;LARGO DE MANGA;;P;CRITICA;  1/4 ;  3/8 ;10  3/4 ;;11      ;;11  1/4 ;;11  1/2 ;;11  3/4 ;;;;;;;;;;;;;;;;;
T;ANCHO DE MANGA EN PTO SISA;;P;CRITICA;  3/8 ;  3/8 ;12  1/8 ;;13      ;;13  3/4 ;;14  1/2 ;;15  1/2 ;;;;;;;;;;;;;;;;;
U;ABERTURA DE MANGA EN QUIEBRE;;P;CRITICA;;;9  1/4 ;;10      ;;10  3/4 ;;11  1/2 ;;12  1/2 ;;;;;;;;;;;;;;;;;
V;ABERTURA DE MANGA EN BORDE;;P;CRITICA;  3/8 ;  3/8 ;9  7/8 ;;10  5/8 ;;11  3/8 ;;12  1/4 ;;13  1/4 ;;;;;;;;;;;;;;;;;
W;LARGO DE COLLARETA ESPALDA;;C;CRITICA;;;15  1/4 ;;15  1/2 ;;15  3/4 ;;16      ;;16  1/4 ;;;;;;;;;;;;;;;;;
X;ALTO DE COLLARETA ESPALDA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
