FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;2/09/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;BASE COMO % MISMA TELA 
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;04423-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;TH6709
ESTILO CLIENTE:;;TH6712;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;2.5%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;SS24;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;2-3-4-5-6-7-8-9-10-11;;;;;;;;LARG.DE MANGA;;;;1.5%;;;
TIPO MUESTRA:;;PRODUCCIÓN PROGRAMA 060-061-064-084;;;;;;;;;MEDIDA :;;;;;;CENTIMETROS;;;;YOEL;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;0.30;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.50;;;
;;;;;;;; ;;         ;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.50;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.70;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;16.8;;17.3;;17.8;;18.3;;18.8;;19.3;;19.8;;20.3;;20.8;;21.3;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.4;;3.5;;3.6;;3.7;;3.8;;3.9;;4.1;;4.3;;4.5;;4.6;;;;;;;
