FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:  16/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;AMAZON;;;;;;;;;ESTILO PROPIO 1:;;;;;;7978;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;GRACE;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;0.5%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;;;;;;;;;;TALLAS:;;;;;;1X 2X;;;;;;;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION ;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NORMA BARRIENTOS ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;TIROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;ENTREPIERNA;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PUÑOS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2X;;3X;;;;;;;;;;;;;;;;;;;;;;;
A;ANCHO DE CINTURA DELANTERO;;P;CRITICA;  1/4 ;  3/8 ;10  1/2 ;;11  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ABERTURA DE BOLSILLO DELANTERO ;;P;CRITICA;  1/4 ;  3/8 ;7  9/16;;7  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO PUNTA DE TIRO DELANTERO ;;P;CRITICA;  1/4 ;  3/8 ;16  7/8 ;;17  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
D;LARGO DELANTERO ;;P;CRITICA;;;33  3/4 ;;34  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;LARGO DE TIRO DELANTERO ;;P;CRITICA;  1/4 ;  3/8 ;10      ;;10  7/16;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE BOTAPIE DELANTERO ;;P;CRITICA;;;8  1/8 ;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE CINTURA ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;13      ;;14      ;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO PUNTA DE TIRO ESPALDA  ;;P;CRITICA;  1/4 ;  3/8 ;19  5/8 ;;20  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
I;LARGO DE ESPALDA;;P;CRITICA;;;34  5/8 ;;35  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
J;LARGO DE TIRO ESPALDA ;;P;CRITICA;  1/4 ;  3/8 ;12  1/8 ;;12  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE BOLSILLO ;;P;CRITICA;  1/4 ;  3/8 ;12  5/8 ;;13  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;ALTO DE BOLSILLO ;;P;CRITICA;;;11  1/2 ;;11  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE PUÑO ;;P;CRITICA;;;9  3/8 ;;9  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE PIEZA DE BOLSILLO ;;P;CRITICA;;;7  5/8 ;;7 15/16;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO PRETINA DELANTERO ;;C;CRITICA;  1/4 ;  3/8 ;23 1/4;;25 1/4;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE PRETINA DELANTERO ;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO PRETINA ESPALDA ;;C;CRITICA;  1/4 ;  3/8 ;24  3/16;;26  3/16;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE PRETINA DELANTERO ;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE PUÑO ;;C;CRITICA;  1/4 ;  3/8 ;11  7/8 ;;12  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE PUÑO ;;C;CRITICA;;;6      ;;6      ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
