COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;28  5/16;;29  1/16;;29 13/16;;30  9/16;;31  5/16;;32  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  3/8 ;;19  7/8 ;;21  3/8 ;;22  7/8 ;;24  3/8 ;;25  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  3/16;;20 11/16;;22  3/16;;23 11/16;;25  3/16;;26  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA DELANTERO;;P;CRITICA;;;7  3/4 ;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2 13/16;;3  1/16;;3  5/16;;3  9/16;;3 13/16;;4  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA ;;P;CRITICA;  5/16;  1/4 ;30  1/16;;30 13/16;;31  9/16;;32  5/16;;33  1/16;;33 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17  5/16;;18  1/16;;18 13/16;;19  9/16;;20  5/16;;21  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA ;;P;CRITICA;;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7  7/8 ;;8  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;8 11/16;;9  1/8 ;;9  5/8 ;;10  1/8 ;;10  9/16;;11  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;8  5/8 ;;9      ;;9  3/8 ;;9  3/4 ;;10  1/8 ;;10  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  5/8 ;;20  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE MANGA ;;P;CRITICA;  3/8 ;  3/8 ;13  5/8 ;;14  5/8 ;;15  5/8 ;;16  5/8 ;;17  9/16;;18  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PECHERA SUPERIOR;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE PECHERA  INFERIOR;;C;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE PECHERA INFERIOR;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE CUELLO SUPERIOR BORDE SUPERIOR;;C;CRITICA;;;16  5/8 ;;17  3/8 ;;18  3/16;;19  1/16;;19  3/4 ;;20  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE CUELLO SUPERIOR BORDE INFERIOR;;C;CRITICA;;;15 13/16;;16  9/16;;17  3/8 ;;18  1/4 ;;18 15/16;;19  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE CUELLO SUPERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE CUELLO INFERIOR BORDE SUPERIOR;;C;CRITICA;;;16  5/8 ;;17  3/8 ;;18  3/16;;19  1/16;;19  3/4 ;;20  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO INFERIOR BORDE INFERIOR;;C;CRITICA;;;15 13/16;;16  9/16;;17  3/8 ;;18  1/4 ;;18 15/16;;19  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO INFERIOR;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
1;ANCHO DE BANDA INTERNA;;C;CRITICA;;;18  1/2 ;;19  5/16;;20  1/8 ;;20 15/16;;21  3/4 ;;22  9/16;;;;;;;;;;;;;;;;;;;;;;;;;
2;ALTO DE BANDA INTERNA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
3;ANCHO DE BANDA EXTERNA;;C;CRITICA;;;18  5/8 ;;19  7/16;;20  1/4 ;;21  1/16;;21  7/8 ;;22 11/16;;;;;;;;;;;;;;;;;;;;;;;;;
4;ALTO DE BANDA EXTERNA;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
5;ALTO DE TAJO EN DELANTERO;;P;CRITICA;;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALTO DE VETNZ DELANTERO;;P;CRITICA;;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
7;ALTO DE VENTZ ESPALDA;;P;CRITICA;;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MEDIDA ADICIONAL PARA DELANTERO SIN TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ANCHO DE PECHERA ;;C;CRITICA;;;4      ;;4      ;;4      ;;4      ;;4      ;;4      ;;;;;;;;;;;;;;;;;;;;;;;;;
9;LARGO DE PECHERA ;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
