FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE-PRENDA LAVADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ABERURA Y HOMBOR CORREGIDO 
;;18/12/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SE CORRIGE EL CODIGO (A) TALLA XL;;
CLIENTE: JCREW;;JCREW;;;;;;;;;ESTILO PROPIO 1:   ;;;;05273-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;
ESTILO CLIENTE: ;;204993;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;7.0%;;;6.0%;;;;
SILUETA:;;PLUS;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;5.0%;;;4.0%;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS: ;;;;XXXS-XXS-XS-S-M-L-XL-XXL;;;;;;;;;;;;;;;;;;;;;
TIPO MUESTRA: ;;PRODUCION  PROGRAMA 012;;;;;;;;;MEDIDA : ;;;;PULGADAS;;;;;;YOEL;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01817-P1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;191056;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);;;2X;;3X;;;;;;;;;;;;;;;;;;;;;XL;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;;;28  5/8 ;;28  5/8 ;;;;;;;;;;;;;;;;;;;;;28 3/4;;;;
B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;29  7/16;;29  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/4 ;.25;;;13  7/16;;13 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;.25;;;13  1/16;;13  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;;;12  1/16;;12 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;;;13  3/16;;13 15/16;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA;  3/8 ;  3/8 ;;;25  5/16;;27  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;;;26  1/16;;27 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;;;9  1/8 ;;9  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;;;7 15/16;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;;;8 13/16;;9  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;;;4  3/16;;4  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
M;ALTO DE CUELLO;;C;CRITICA;;;;;1  5/16;;1  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO DE CUELLO;;C;CRITICA;;;;;27      ;;27 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;;;1 1/8;;1 1/8;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;;;17  5/8 ;;18      ;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE BANDA DE SISA;;C;CRITICA;;;;;1  5/16;;1  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE BANDA DE SISA;;C;CRITICA;;;;;22  5/16;;23  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
